cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
L22.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,12.913458280363818,-18.589267919816614,D042186
L22.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_10_M,6.034750197975591,-21.634116628539985,D042473
L3.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_38_F,0.6862286676484173,-16.38695378849239,B002765
L3.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,9.82019942383974,-22.14721020694125,D042186
L4.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_38_F,0.16059209256261578,-17.286589849758585,B002765
L4.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_11_M,0.45100909253010135,-27.265810524624275,D042103
L4.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_9_M,9.507047219124477,-26.296201728905658,D042185
L4.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,6.410711346841691,-20.71052489847195,D042186
L5.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,0.4858285762052339,-27.90454489373482,D042186
L6.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,5.70590612546827,-14.958248952153811,D042186
L7.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-24.47659482613326,-1.6937598789435817,B002765
L7.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_39_F,4.2439778106075154,-16.671484811152727,B002769
L7.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,9.4661259291689,-27.358891203876677,D042186
L8.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_38_F,-0.6930476283728991,-18.24780694706221,B002765
L8.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_39_F,7.870684350458174,-16.271242970453144,B002769
L8.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_8_M,1.5192804573253391,-28.739445055210535,D042186
L9.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,F,3_38_F,2.837060897722058,-26.63373624307924,B002765
M1.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,24.559793250331737,-4.839200346678422,B002765
M1.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,24.522741158533297,-6.655349889433214,D042103
M1.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,26.429090163182757,-8.758299000062776,D042185
M1.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,30.9070487639921,-2.3395083533334278,D042186
M10.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-23.866102577798937,-0.377674185367995,B002765
M10.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,27.857059544283423,-9.53629016340283,B002769
M10.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.726903383505956,-7.718683060480941,D042186
