cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A15.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_10_M,20.977760508954486,18.988775024537393,MAA000560,TRUE,3
A15.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,brain pericyte,CL:2000043,NA,8,M,3_10_M,6.605527095850838,23.33042128963001,MAA000561,FALSE,NA
A15.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,M,3_10_M,-23.51558972484428,11.810449140661722,MAA000581,FALSE,NA
A15.MAA000641.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,4.1431718955219985,0.9715813682635261,MAA000641,FALSE,NA
A15.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,5,M,3_8_M,-9.60124488908409,31.05206106111673,MAA000930,FALSE,NA
A15.MAA000941.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,1,M,3_8_M,-18.688004181785686,18.24147800001741,MAA000941,FALSE,NA
A15.MAA000942.3_8_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_8_M,45.427714889960924,2.0906073130804073,MAA000942,FALSE,NA
A15.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_9_M,9.536155313091017,6.691128556361536,MAA000944,TRUE,2
A15.MAA001895.3_38_F.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,1,F,3_38_F,-15.535913313196266,15.461882887650756,MAA001895,FALSE,NA
A16.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_38_F,1.9849934036231645,-6.130377128413673,B003275,FALSE,NA
