"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation"
"B22.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B22.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B3.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B3.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B3.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B4.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B4.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B5.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B5.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B6.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B6.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B6.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B6.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B7.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B7.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B8.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B8.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B9.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"B9.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C1.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C1.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C10.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C10.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C10.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C11.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C11.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C11.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C12.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C12.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C13.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C14.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C14.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C15.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C15.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C15.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C16.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C16.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C16.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C17.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C17.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C18.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C18.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C19.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C19.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C19.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C2.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C2.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C2.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C20.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C20.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C21.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C21.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C22.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C22.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C3.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C3.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C3.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C4.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C4.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C4.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C4.MAA001454.3_38_F.1.1","MAA001454","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C5.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C5.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C5.D042180.3_10_M.1.1","D042180","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C6.B002762.3_39_F.1.1","B002762","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
"C6.D042105.3_11_M.1.1","D042105","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite stem cell"
