"","plate.barcode","cell_ontology_class","cell_ontology_id"
"A14.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"A15.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A15.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A15.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A15.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A15.B002423.3_39_F.1.1","B002423","smooth muscle cell","CL:0000192"
"A15.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A15.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A15.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"A15.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"A15.MAA000901.3_10_M.1.1","MAA000901","fibroblast","CL:0000057"
"A15.MAA000918.3_10_M.1.1","MAA000918","leukocyte","CL:0000738"
"A15.MAA000936.3_9_M.1.1","MAA000936","NA","NA"
"A16.B000633.3_56_F.1.1","B000633","leukocyte","CL:0000738"
"A16.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A16.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A16.B002011.3_38_F.1.1","B002011","endocardial cell","CL:0002350"
"A16.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A16.B002423.3_39_F.1.1","B002423","leukocyte","CL:0000738"
"A16.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"A16.B002428.3_38_F.1.1","B002428","endocardial cell","CL:0002350"
"A16.MAA000399.3_9_M.1.1","MAA000399","endothelial cell","CL:0000115"
"A16.MAA000901.3_10_M.1.1","MAA000901","endothelial cell","CL:0000115"
"A16.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A16.MAA000936.3_9_M.1.1","MAA000936","smooth muscle cell","CL:0000192"
"A17.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A17.B000636.3_56_F.1.1","B000636","endothelial cell","CL:0000115"
"A17.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A17.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A17.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A17.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A17.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A17.B002429.3_38_F.1.1","B002429","fibroblast","CL:0000057"
"A17.MAA000903.3_11_M.1.1","MAA000903","leukocyte","CL:0000738"
"A17.MAA000918.3_10_M.1.1","MAA000918","endothelial cell","CL:0000115"
"A17.MAA000919.3_10_M.1.1","MAA000919","fibroblast","CL:0000057"
"A18.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A18.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A18.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A18.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"A18.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A18.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A18.MAA000399.3_9_M.1.1","MAA000399","fibroblast","CL:0000057"
"A18.MAA000586.3_8_M.1.1","MAA000586","endothelial cell","CL:0000115"
"A18.MAA000903.3_11_M.1.1","MAA000903","endothelial cell","CL:0000115"
"A18.MAA000936.3_9_M.1.1","MAA000936","fibroblast","CL:0000057"
"A19.B000412.3_56_F.1.1","B000412","fibroblast","CL:0000057"
"A19.B000633.3_56_F.1.1","B000633","endocardial cell","CL:0002350"
"A19.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A19.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A19.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A19.B002428.3_38_F.1.1","B002428","endothelial cell","CL:0000115"
"A19.B002429.3_38_F.1.1","B002429","smooth muscle cell","CL:0000192"
"A19.MAA000398.3_9_M.1.1","MAA000398","endothelial cell","CL:0000115"
"A19.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
"A19.MAA000903.3_11_M.1.1","MAA000903","endothelial cell","CL:0000115"
"A2.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A2.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A2.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A2.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A2.MAA000587.3_8_M.1.1","MAA000587","smooth muscle cell","CL:0000192"
"A2.MAA000918.3_10_M.1.1","MAA000918","endothelial cell","CL:0000115"
"A2.MAA000919.3_10_M.1.1","MAA000919","fibroblast","CL:0000057"
"A2.MAA000920.3_11_M.1.1","MAA000920","endocardial cell","CL:0002350"
"A2.MAA100037.3_10_M.1.1","MAA100037","endothelial cell","CL:0000115"
"A2.MAA100096.3_38_F.1.1","MAA100096","cardiac muscle cell","CL:0000746"
"A20.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A20.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A20.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A20.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A20.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A20.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A20.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"A20.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A20.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
"A20.MAA000587.3_8_M.1.1","MAA000587","endothelial cell","CL:0000115"
"A20.MAA000589.3_9_M.1.1","MAA000589","leukocyte","CL:0000738"
"A20.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A21.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A21.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A21.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A21.B002010.3_39_F.1.1","B002010","leukocyte","CL:0000738"
"A21.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A21.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A21.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A21.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"A21.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A21.MAA000399.3_9_M.1.1","MAA000399","leukocyte","CL:0000738"
"A21.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A21.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A21.MAA000919.3_10_M.1.1","MAA000919","leukocyte","CL:0000738"
"A22.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A22.B000636.3_56_F.1.1","B000636","endothelial cell","CL:0000115"
"A22.B002010.3_39_F.1.1","B002010","leukocyte","CL:0000738"
"A22.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A22.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A22.B002423.3_39_F.1.1","B002423","endothelial cell","CL:0000115"
"A22.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A22.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A22.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"A22.MAA000398.3_9_M.1.1","MAA000398","smooth muscle cell","CL:0000192"
"A22.MAA000589.3_9_M.1.1","MAA000589","endothelial cell","CL:0000115"
"A22.MAA000899.3_10_M.1.1","MAA000899","fibroblast","CL:0000057"
"A22.MAA000901.3_10_M.1.1","MAA000901","endothelial cell","CL:0000115"
"A22.MAA000919.3_10_M.1.1","MAA000919","fibroblast","CL:0000057"
"A3.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A3.B000633.3_56_F.1.1","B000633","leukocyte","CL:0000738"
"A3.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A3.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"A3.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A3.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A3.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A3.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"A3.MAA000589.3_9_M.1.1","MAA000589","endothelial cell","CL:0000115"
"A3.MAA000901.3_10_M.1.1","MAA000901","endothelial cell","CL:0000115"
"A3.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"A4.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A4.B000633.3_56_F.1.1","B000633","leukocyte","CL:0000738"
"A4.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A4.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A4.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A4.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A4.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A4.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A4.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A4.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
"A4.MAA000589.3_9_M.1.1","MAA000589","fibroblast","CL:0000057"
"A4.MAA000898.3_11_M.1.1","MAA000898","endothelial cell","CL:0000115"
"A4.MAA000903.3_11_M.1.1","MAA000903","leukocyte","CL:0000738"
"A4.MAA000918.3_10_M.1.1","MAA000918","leukocyte","CL:0000738"
"A4.MAA100096.3_38_F.1.1","MAA100096","cardiac muscle cell","CL:0000746"
"A5.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A5.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A5.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A5.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A5.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A5.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
"A5.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A5.MAA000920.3_11_M.1.1","MAA000920","endothelial cell","CL:0000115"
"A5.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"A5.MAA100037.3_10_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A6.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A6.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A6.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A6.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A6.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A6.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A6.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A6.MAA000918.3_10_M.1.1","MAA000918","smooth muscle cell","CL:0000192"
"A6.MAA000919.3_10_M.1.1","MAA000919","leukocyte","CL:0000738"
"A6.MAA100037.3_10_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A7.B000633.3_56_F.1.1","B000633","endocardial cell","CL:0002350"
"A7.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A7.B002423.3_39_F.1.1","B002423","endothelial cell","CL:0000115"
"A7.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"A7.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A7.MAA000400.3_8_M.1.1","MAA000400","smooth muscle cell","CL:0000192"
"A7.MAA000903.3_11_M.1.1","MAA000903","endothelial cell","CL:0000115"
"A7.MAA000919.3_10_M.1.1","MAA000919","fibroblast","CL:0000057"
"A7.MAA000936.3_9_M.1.1","MAA000936","endothelial cell","CL:0000115"
"A7.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A7.MAA100096.3_39_F.1.1","MAA100096","cardiac muscle cell","CL:0000746"
"A8.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A8.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A8.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"A8.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A8.MAA000918.3_10_M.1.1","MAA000918","endothelial cell","CL:0000115"
"A8.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"A8.MAA100097.3_39_F.1.1","MAA100097","cardiac muscle cell","CL:0000746"
"A9.B000634.3_56_F.1.1","B000634","smooth muscle cell","CL:0000192"
"A9.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A9.B002421.3_39_F.1.1","B002421","endocardial cell","CL:0002350"
"A9.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A9.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A9.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A9.MAA000398.3_9_M.1.1","MAA000398","smooth muscle cell","CL:0000192"
"A9.MAA000399.3_9_M.1.1","MAA000399","fibroblast","CL:0000057"
"A9.MAA000899.3_10_M.1.1","MAA000899","leukocyte","CL:0000738"
"A9.MAA000918.3_10_M.1.1","MAA000918","endothelial cell","CL:0000115"
"A9.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"B1.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"B1.B000636.3_56_F.1.1","B000636","endothelial cell","CL:0000115"
"B1.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B1.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B1.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B1.B002428.3_38_F.1.1","B002428","smooth muscle cell","CL:0000192"
"B1.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"B1.MAA000399.3_9_M.1.1","MAA000399","leukocyte","CL:0000738"
"B1.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"B1.MAA000587.3_8_M.1.1","MAA000587","endothelial cell","CL:0000115"
"B1.MAA000898.3_11_M.1.1","MAA000898","fibroblast","CL:0000057"
"B1.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"B1.MAA100037.3_10_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"B1.MAA100096.3_38_F.1.1","MAA100096","cardiac muscle cell","CL:0000746"
"B10.B000633.3_56_F.1.1","B000633","endocardial cell","CL:0002350"
"B10.B000636.3_56_F.1.1","B000636","fibroblast","CL:0000057"
"B10.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B10.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B10.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"B10.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"B10.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B10.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B10.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"B10.MAA000936.3_9_M.1.1","MAA000936","fibroblast","CL:0000057"
"B10.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"B11.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"B11.B000636.3_56_F.1.1","B000636","endothelial cell","CL:0000115"
"B11.B002010.3_39_F.1.1","B002010","leukocyte","CL:0000738"
"B11.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B11.B002421.3_39_F.1.1","B002421","smooth muscle cell","CL:0000192"
"B11.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"B11.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B11.B002428.3_38_F.1.1","B002428","NA","NA"
"B11.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"B11.MAA000399.3_9_M.1.1","MAA000399","endothelial cell","CL:0000115"
"B11.MAA000587.3_8_M.1.1","MAA000587","fibroblast","CL:0000057"
"B11.MAA000589.3_9_M.1.1","MAA000589","endothelial cell","CL:0000115"
"B11.MAA000903.3_11_M.1.1","MAA000903","leukocyte","CL:0000738"
"B11.MAA000920.3_11_M.1.1","MAA000920","smooth muscle cell","CL:0000192"
"B11.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"B12.B000633.3_56_F.1.1","B000633","leukocyte","CL:0000738"
"B12.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"B12.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B12.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B12.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"B12.B002423.3_39_F.1.1","B002423","NA","NA"
"B12.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B12.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B12.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"B12.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"B12.MAA000399.3_9_M.1.1","MAA000399","endothelial cell","CL:0000115"
"B12.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"B12.MAA000452.3_8_M.1.1","MAA000452","fibroblast","CL:0000057"
"B12.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"B12.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"B12.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"B12.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"B13.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"B13.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B13.B002423.3_39_F.1.1","B002423","leukocyte","CL:0000738"
"B13.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"B13.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B13.MAA000452.3_8_M.1.1","MAA000452","endothelial cell","CL:0000115"
"B13.MAA000589.3_9_M.1.1","MAA000589","endothelial cell","CL:0000115"
"B13.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"B14.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"B14.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B14.B002011.3_38_F.1.1","B002011","endothelial cell","CL:0000115"
"B14.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"B14.B002423.3_39_F.1.1","B002423","endothelial cell","CL:0000115"
"B14.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B14.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B14.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"B14.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"B14.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"B14.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
"B14.MAA000589.3_9_M.1.1","MAA000589","endothelial cell","CL:0000115"
"B14.MAA000901.3_10_M.1.1","MAA000901","leukocyte","CL:0000738"
"B14.MAA000920.3_11_M.1.1","MAA000920","cardiac muscle cell","CL:0000746"
"B14.MAA000936.3_9_M.1.1","MAA000936","fibroblast","CL:0000057"
"B15.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"B15.B000634.3_56_F.1.1","B000634","endocardial cell","CL:0002350"
"B15.B002010.3_39_F.1.1","B002010","endothelial cell","CL:0000115"
"B15.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B15.B002423.3_39_F.1.1","B002423","leukocyte","CL:0000738"
"B15.B002427.3_39_F.1.1","B002427","endothelial cell","CL:0000115"
"B15.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B15.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"B15.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"B15.MAA000452.3_8_M.1.1","MAA000452","endothelial cell","CL:0000115"
"B15.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"B15.MAA000903.3_11_M.1.1","MAA000903","endothelial cell","CL:0000115"
"B15.MAA000918.3_10_M.1.1","MAA000918","fibroblast","CL:0000057"
"B15.MAA000936.3_9_M.1.1","MAA000936","smooth muscle cell","CL:0000192"
"B16.B000633.3_56_F.1.1","B000633","endothelial cell","CL:0000115"
"B16.B000636.3_56_F.1.1","B000636","fibroblast","CL:0000057"
"B16.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B16.B002011.3_38_F.1.1","B002011","smooth muscle cell","CL:0000192"
"B16.B002421.3_39_F.1.1","B002421","smooth muscle cell","CL:0000192"
"B16.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"B16.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"B16.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"B16.MAA000400.3_8_M.1.1","MAA000400","leukocyte","CL:0000738"
"B16.MAA000903.3_11_M.1.1","MAA000903","leukocyte","CL:0000738"
"B16.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"B17.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"B17.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"B17.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"B17.B002421.3_39_F.1.1","B002421","smooth muscle cell","CL:0000192"
"B17.B002423.3_39_F.1.1","B002423","endothelial cell","CL:0000115"
