"","plate.barcode","cell_ontology_class","cell_ontology_id"
"B5.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B5.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"B5.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"B6.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"B7.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"B7.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"B7.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"B8.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B8.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B9.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C1.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"C1.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"C10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C10.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C11.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C12.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C14.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C15.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C2.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C2.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C2.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"C2.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
"C20.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C20.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C22.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C3.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C3.MAA000549.3_8_M.1.1","MAA000549","epidermal cell","CL:0000362"
"C3.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
"C4.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C4.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C4.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"C5.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"C5.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C5.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"C6.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"C6.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"C7.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"C7.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"C8.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C8.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"C9.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"C9.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D1.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"D1.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"D1.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"D10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D10.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D10.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"D11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D11.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D12.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D12.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D14.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D15.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D16.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D18.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D18.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"D18.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D19.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D2.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"D2.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"D2.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"D20.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D21.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D22.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D3.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"D3.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"D3.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"D3.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"D4.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"D4.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D4.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"D5.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"D5.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D6.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D6.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"D7.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"D7.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D8.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D8.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"D8.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"D9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"D9.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"E1.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"E1.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"E10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E12.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E14.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E15.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E16.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"E17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E17.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"E18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E18.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E18.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"E19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E19.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E19.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"E2.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"E2.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"E2.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"E20.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E20.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E22.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E22.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"E3.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"E4.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"E4.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"E5.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"E5.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"E5.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
"E6.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"E7.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"E7.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"E7.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"E8.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"E9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"E9.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F1.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F1.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"F10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F11.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"F12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F12.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"F13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F13.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"F14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F14.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"F15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F15.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F17.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"F18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F18.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F18.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"F19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F2.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F2.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"F20.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F20.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F21.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"F22.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F22.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"F3.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"F4.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"F5.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"F5.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"F5.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"F5.MAA000597.3_9_M.1.1","MAA000597","epidermal cell","CL:0000362"
"F6.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F6.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"F7.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"F8.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"F8.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"F8.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"F9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G1.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"G1.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"G1.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"G1.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
"G10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G11.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"G11.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"G12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G12.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"G13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"G14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G14.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"G15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"G17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"G18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G18.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"G19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"G19.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
