"","plate.barcode","cell_ontology_class","cell_ontology_class.subcell_ontology_class"
"J14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"L1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M8.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"O1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"D15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"J15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M9.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"F7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J17.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"L2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"J18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"L4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M11.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"O3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P9.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B1.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"C5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"F8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I9.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J19.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"L5.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"M13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"B2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"C8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"J20.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"L6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"C9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"D20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"J21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"L7.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"M16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O6.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"P14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"O7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"C13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"E2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"F14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K1.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"C15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"O8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"E3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C16.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"P17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A5.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"B10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"C18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H7.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"I18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"M19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"O9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"I19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A6.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"B11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C19.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"N1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"C20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"E7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K6.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"L13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"P19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B13.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"C21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"E8.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"H14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"H15.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"I21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"B14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"C22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"E10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"J1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K8.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"K9.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N5.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"P21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"O16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B15.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"D2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"L17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N7.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"O18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"J2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"D3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J3.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"O19.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"A12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"D5.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"E16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"H21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"J4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"L20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A6.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"C20.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A14.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"D1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D2.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A20.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D7.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"A19.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A21.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D15.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"A22.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D16.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"B3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"D19.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D21.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
