"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"P21.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.47733091506301,-5.06722722314215
"P20.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-10.3831659706195,32.4373000037064
"A2.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.6190721729693,12.696487263123
"B6.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.32040565283698,35.6442005122975
"C11.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.16262565416776,25.1183960652209
"D16.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.41334782746651,-2.48689058468468
"I17.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,10.9232858413999,23.3528393303366
"J21.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.739308831236,-1.77261769266728
"L2.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.18907171319984,24.7653048889904
"M7.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.4424685050995,36.0251175731775
"N13.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.70811639311439,0.369248684487787
"O17.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-9.96847025761207,11.5299274950155
"B9.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.8287289018069,0.200492861118329
"A3.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-10.7921228521832,-0.762095782279936
"B7.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-14.566948600911,-2.04907176790452
"C12.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-12.5358287946458,6.65815332854098
"D18.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-9.30415481920693,10.1692573324352
"F1.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.59801406504841,-1.49421916489809
"G5.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.59266577929591,32.6926037347014
"H12.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.56516689720435,0.231953455257108
"C14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.05444123297058,-1.94129191273784
"N14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.90475960352185,1.45089555551026
"O21.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.87378777425016,2.06673659625433
"A5.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-10.3681328123731,-2.14388635562005
"B10.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.73489663025284,25.9647344807952
"C15.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-8.51202871931097,27.4244359461871
"D19.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-8.75848386823471,27.0075088050218
"D20.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.55562130951041,-1.51326480234356
"F3.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-9.99543947314404,8.17445924809452
"G7.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.55451175303831,0.37703093659003
"F2.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.22130697619721,-0.889473243147319
"G6.D042044.3_9_M.1.1","D041912","granulocyte","CL:0000094",NA,31.7454083334285,2.69572748584326
"H14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.86464115907977,0.0528354432455409
"I18.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.6167674536365,14.592117463591
"J22.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.83590824354367,-1.19021313798538
"L3.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.93692008804412,32.0162370164358
"M8.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.77930340754202,34.9402572396318
"H15.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.69945996474437,-0.571275072327689
"O22.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.48529841182889,9.8851775807573
"A6.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-14.5930915717339,18.6764793345118
"B11.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.1088209104751,21.8559129511197
"C17.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-17.0343369941483,23.9441432831
"D21.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.72722021964692,35.6888682975095
"I19.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.02423408860295,-1.38761317998809
"F4.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-17.6192900559055,22.4503094480519
"G8.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-18.6659835539074,23.4266276098577
"H16.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-20.9198668529307,23.963468681102
"K1.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.70072102972391,25.6862258452974
"L4.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-10.7174421158094,-3.21333656004302
"M9.D042044.3_9_M.1.1","D041912","granulocyte","CL:0000094",NA,31.3485846074274,1.94786997609972
"N15.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-9.68916640144372,9.1829220577226
