cell,tSNE_1,tSNE_2,cluster
A10.B002010.3_39_F.1.1,-5.699419942711915,-9.463294883710287,4
A10.B002011.3_38_F.1.1,-9.47744497551589,-6.895547794173713,4
A10.B002314.3_56_F.1.1,-2.7264226633961126,4.335218202830229,21
A10.B002421.3_39_F.1.1,-40.28798493961891,2.2112560981987417,3
A10.B002423.3_39_F.1.1,-31.066980598589467,0.6230634999876031,3
A10.B002427.3_39_F.1.1,-12.236066225440112,-8.509965688206586,4
A10.B002428.3_38_F.1.1,-12.051059060633683,-7.759278547706668,4
A10.B002433.3_38_F.1.1,8.273070870103762,35.78986068454931,10
A10.B002435.3_39_F.1.1,2.611162002560307,40.32392661243858,10
A10.B002436.3_39_F.1.1,7.335695351634497,34.949086079994885,10
A10.B002438.3_38_F.1.1,7.969826997789349,25.241480994676554,14
A10.B002707.3_39_F.1.1,7.898813000050534,8.470105700524094,28
A10.B002762.3_39_F.1.1,20.91677328824252,-29.090274804631157,13
A10.B002764.3_38_F.1.1,-26.552378836677793,14.897790312330969,27
A10.B002765.3_38_F.1.1,19.74323952007276,-32.42183824870519,13
A10.B002769.3_39_F.1.1,23.894396534673266,-28.520034891813577,13
A10.B002771.3_39_F.1.1,-26.966805458307114,14.509896915391122,27
A10.B002775.3_39_F.1.1,-33.552039350911656,-7.5330936173481,3
A10.B002777.3_39_F.1.1,-15.462648958810345,36.4562808368631,7
A10.B002954.3_56_F.1.1,-4.9123801885307765,-3.173484800432159,19
A10.B003281.3_39_F.1.1,26.14354458625714,-3.438524146621694,0
A10.B003283.3_38_F.1.1,-40.13120323632772,-10.84000087636746,20
A10.B003290.3_38_F.1.1,0.7762578402517691,27.94120318025183,25
A10.B003291.3_39_F.1.1,6.003017353156351,19.053026762138952,2
A10.B003292.3_39_F.1.1,24.628740597928882,-5.9179933341905855,0
A10.D041894.3_9_M.1.1,-20.06314618050725,30.89829936513264,7
A10.D041904.3_10_M.1.1,-14.747788621521078,39.31914517261382,7
A10.D041911.3_8_M.1.1,-26.049950689114876,32.767276575052286,7
A10.D041914.3_8_M.1.1,36.80937808013113,18.531312991351445,26
A10.D042044.3_9_M.1.1,27.78963878234498,-26.232529725410046,40
A10.D042105.3_11_M.1.1,19.08096689640228,-31.176842548870106,13
A10.D042186.3_8_M.1.1,23.08879957718799,-29.58252503130772,13
A10.D042193.3_8_M.1.1,10.25297067998535,20.59318179654274,2
A10.D042253.3_9_M.1.1,32.848201373302246,13.127337908298886,26
A10.D042474.3_8_M.1.1,-11.183750154626559,-18.862311189285386,1
A10.D042475.3_9_M.1.1,-36.03363754528163,-2.573598027625863,3
A10.D042479.3_8_M.1.1,27.635749695539843,-24.191570335791244,40
A10.D043522.3_39_F.1.1,5.273344713594431,-22.412562484699045,23
A10.D043526.3_39_F.1.1,15.335710367073721,35.275595639420004,15
A10.D045064.3_38_F.1.1,0.971950879541521,1.610219761171005,21
A10.D045067.3_38_F.1.1,-6.259963996460971,0.9966887873914981,19
A10.D045140.3_38_F.1.1,0.9750484379881549,1.9931225493763087,21
A10.MAA000385.3_10_M.1.1,9.303269733563885,2.564333989124227,28
A10.MAA000386.3_11_M.1.1,-26.46382596983567,-19.984971735542775,24
A10.MAA000388.3_11_M.1.1,-2.5686188840678255,4.866515239622107,21
A10.MAA000398.3_9_M.1.1,13.732242316948637,-25.114317983095198,37
A10.MAA000409.3_10_M.1.1,20.2611732508571,23.52610234176609,43
A10.MAA000427.3_11_M.1.1,18.033502915358195,-11.575064373029079,6
A10.MAA000435.3_10_M.1.1,19.412827171184087,-19.06796280393238,6
A10.MAA000439.3_10_M.1.1,-3.076873881401971,-3.526804510596463,19
A10.MAA000487.3_10_M.1.1,-24.908135709453042,14.349346030534361,27
A10.MAA000496.3_10_M.1.1,-11.866283996958469,-18.881382449224546,1
A10.MAA000508.3_9_M.1.1,-2.452796474635787,-34.322972172197645,5
A10.MAA000526.3_9_M.1.1,-1.4835053804785614,-17.33845351572718,4
A10.MAA000530.3_8_M.1.1,-8.358353939644994,-25.436652460014255,1
A10.MAA000556.3_9_M.1.1,2.4994673207358518,17.945653547087538,2
A10.MAA000559.3_8_M.1.1,9.805847228470023,15.840979960586731,2
A10.MAA000564.3_10_M.1.1,14.46069775225242,28.073327653692242,42
A10.MAA000571.3_9_M.1.1,29.72808570245706,-13.53280660170274,11
A10.MAA000572.3_8_M.1.1,35.074906694169904,3.257985199111208,0
A10.MAA000583.3_9_M.1.1,11.386399958216568,-5.829458391043807,12
A10.MAA000586.3_8_M.1.1,-8.211978644211541,-8.027686366508256,4
A10.MAA000590.3_9_M.1.1,33.69112134016,0.7765215571767289,0
A10.MAA000591.3_8_M.1.1,32.623575186501476,1.4349741355425383,0
A10.MAA000593.3_8_M.1.1,28.967077275537225,-3.9260948986297,0
A10.MAA000595.3_9_M.1.1,-11.85150434356467,-21.435725470384266,1
A10.MAA000600.3_8_M.1.1,-13.872949718979854,25.557855933968728,8
A10.MAA000603.3_10_M.1.1,34.48071192437267,5.1493307854446355,0
A10.MAA000604.3_10_M.1.1,40.91220501347466,-2.460059402407863,0
A10.MAA000605.3_10_M.1.1,30.729452532907164,-9.76037709116347,0
A10.MAA000607.3_9_M.1.1,-15.78806547416714,-35.59634342882226,29
A10.MAA000609.3_8_M.1.1,-17.563776063488998,-43.06988357407689,50
A10.MAA000611.3_8_M.1.1,8.285414373030621,-3.856256564273632,12
A10.MAA000612.3_9_M.1.1,-33.768482157944696,19.05798305081443,16
A10.MAA000614.3_10_M.1.1,18.561063949208503,-9.569960977262413,6
A10.MAA000617.3_10_M.1.1,35.88312290418581,5.952575031023201,0
A10.MAA000639.3_9_M.1.1,20.78174523811344,26.738428889733047,15
A10.MAA000641.3_9_M.1.1,-21.954301247541057,3.520453471934263,14
A10.MAA000652.3_10_M.1.1,22.38880033044448,7.27849974888052,47
A10.MAA000752.3_10_M.1.1,-32.64741440266902,-6.824266079440104,3
A10.MAA000779.3_11_M.1.1,2.42269132398126,13.777375414652456,2
A10.MAA000839.3_11_M.1.1,-7.754097593305799,-24.502207140277534,1
A10.MAA000844.3_10_M.1.1,13.99588475314417,11.277077468229185,18
A10.MAA000848.3_10_M.1.1,-4.405657670778528,25.30012232816558,8
A10.MAA000871.3_11_M.1.1,-23.10915924846721,21.050536900275656,22
A10.MAA000877.3_11_M.1.1,7.1599501686438245,-34.70041491829775,5
A10.MAA000880.3_11_M.1.1,4.155547787120724,-36.557687101670616,5
A10.MAA000884.3_10_M.1.1,29.84056396302345,25.213649738550192,33
A10.MAA000907.3_11_M.1.1,37.84951101582928,-23.2720591408759,46
A10.MAA000909.3_10_M.1.1,11.75502416721746,-6.270536781170314,12
A10.MAA000914.3_9_M.1.1,-2.3558835411353476,6.12374978327489,21
A10.MAA000926.3_9_M.1.1,-36.549664233986846,11.87006819194544,32
A10.MAA000930.3_8_M.1.1,15.238959030228278,29.39000987423644,42
A10.MAA000932.3_11_M.1.1,1.3659348691154491,29.482704498548358,25
A10.MAA000934.3_9_M.1.1,1.5808423532706433,6.115375207198282,21
A10.MAA000935.3_8_M.1.1,-11.88388143619312,19.619961447632576,9
A10.MAA000936.3_9_M.1.1,-4.2496217140792,-0.7926330326399763,19
A10.MAA000937.3_8_M.1.1,14.966816531874558,-2.294771327496285,12
A10.MAA000938.3_8_M.1.1,17.839882080266086,-7.935123804088231,6
A10.MAA000941.3_8_M.1.1,-11.4778633048552,16.36818598750516,9
A10.MAA000944.3_9_M.1.1,-13.364336640843433,17.670629867932938,9
A10.MAA001539.3_56_F.1.1,-10.62938071666561,10.555253014660062,22
A10.MAA001632.3_56_F.1.1,-31.286684181211623,24.112305278716047,16
A10.MAA001844.3_38_F.1.1,-4.092698642461955,24.983210802312577,8
A10.MAA001847.3_39_F.1.1,-19.14375496305338,-10.31510990423603,31
A10.MAA001853.3_38_F.1.1,0.09658819612765121,29.997537639142806,25
A10.MAA001854.3_38_F.1.1,-18.285135909863385,9.4446474010123,9
A10.MAA001857.3_38_F.1.1,26.57927312520297,15.201836498754028,30
A10.MAA001865.3_38_F.1.1,-21.096888707006336,-19.76808661352533,1
A10.MAA001869.3_38_F.1.1,9.457055054935802,-10.370667597782331,17
A10.MAA001871.3_39_F.1.1,13.709299509705081,-7.217534023907535,12
A10.MAA001872.3_39_F.1.1,-25.743577449900478,22.367942031961118,16
A10.MAA001873.3_38_F.1.1,7.603178157209263,-5.346488337078214,12
A10.MAA001883.3_39_F.1.1,15.20966054762044,7.412412602289236,18
A10.MAA001884.3_38_F.1.1,0.9435410886533163,13.07597912704335,2
A10.MAA001887.3_39_F.1.1,19.644017439460814,11.187283569775229,18
A10.MAA001889.3_38_F.1.1,0.5598962436125593,3.4641614431625962,21
A10.MAA001892.3_38_F.1.1,3.5518606485471653,-21.837804417031528,23
A10.MAA100037.3_11_M.1.1,-21.933620075762416,9.108025656209046,49
A10.MAA100041.3_9_M.1.1,44.152036497068465,10.215365885605513,35
A10.MAA100138.3_56_F.1.1,45.11741125149211,9.725465531224412,35
A11.B000126.3_39_F.1.1,-34.15607222338553,-16.601432715636314,20
A11.B000127.3_38_F.1.1,0.1654892088301902,1.6122853870412301,21
A11.B000166.3_56_F.1.1,1.2708020858966311,-27.54556533161292,34
A11.B000404.3_56_F.1.1,-27.946820444193005,7.625966199563459,32
A11.B000412.3_56_F.1.1,-3.404731080907901,-12.180477035106906,4
A11.B000610.3_56_F.1.1,-25.694760447282377,12.421179195109941,27
A11.B000633.3_56_F.1.1,-2.91369244361259,-8.100347314294643,4
A11.B000634.3_56_F.1.1,-6.89281325145698,-12.972190700798858,4
A11.B000636.3_56_F.1.1,-40.518440753111356,6.089941147847801,3
A11.B000825.3_38_F.1.1,32.18541986873051,-20.327033934681207,11
A11.B000826.3_39_F.1.1,36.1797567227501,-1.2942211382045372,0
A11.B000827.3_38_F.1.1,2.257840929774886,-40.94326394487947,5
A11.B000971.3_39_F.1.1,15.572867382033852,15.192823216879129,2
A11.B001176.3_56_F.1.1,30.376419054712304,-7.481946182105632,0
A11.B001216.3_38_F.1.1,-0.9370758146225189,11.469005079081867,2
A11.B001689.3_38_F.1.1,30.558229245679502,-18.89390982206981,11
A11.B001750.3_38_F.1.1,16.50275155167793,-24.091103523275745,37
A11.B001960.3_56_F.1.1,-1.5915401075086806,-35.54465176925177,5
A11.B002010.3_39_F.1.1,-28.507105662466763,-11.400101183704038,23
A11.B002011.3_38_F.1.1,-7.649358455558879,-8.969071769399243,4
A11.B002309.3_57_F.1.1,-0.027367700185416382,-28.255985240508306,14
A11.B002314.3_56_F.1.1,2.500740971747645,4.52817658112999,21
A11.B002421.3_39_F.1.1,-23.64462514701334,-0.39632598951705256,3
A11.B002423.3_39_F.1.1,-3.6001720463001283,-10.513651963094384,4
A11.B002427.3_39_F.1.1,-3.9517512585724757,-12.227934136314964,4
A11.B002428.3_38_F.1.1,-7.631966832728049,-10.860874851845157,4
A11.B002432.3_38_F.1.1,2.808303635725109,-26.523016584186088,34
A11.B002433.3_38_F.1.1,5.369530647856682,-27.262441327116445,34
A11.B002436.3_39_F.1.1,2.771747083268534,-27.565351861504666,34
A11.B002438.3_38_F.1.1,6.332831121297607,-27.765072063380394,34
A11.B002762.3_39_F.1.1,21.645704653399395,-27.32002341444837,13
A11.B002765.3_38_F.1.1,20.589883964637984,-30.399135941767035,13
A11.B002769.3_39_F.1.1,20.973603837647694,-31.981810564638817,13
A11.B002771.3_39_F.1.1,-28.572899172815198,13.188395113738494,27
A11.B002777.3_39_F.1.1,-21.64845384792919,34.86463816255487,7
A11.B002955.3_56_F.1.1,7.584755154624375,4.50211807852957,28
A11.B003275.3_38_F.1.1,1.349272930715359,28.54232970239026,25
A11.B003278.3_38_F.1.1,28.52311226506189,-15.938529588555388,11
A11.B003279.3_38_F.1.1,31.52728704043879,-18.78962052131798,11
A11.B003283.3_38_F.1.1,20.901411821414264,-15.255739719870762,6
A11.B003291.3_39_F.1.1,-11.09324251024622,-37.65132795745755,29
A11.B003292.3_39_F.1.1,26.257937375492098,-1.8753503015311679,0
A11.D041894.3_9_M.1.1,-28.623448650220777,31.171442471157942,7
A11.D041904.3_10_M.1.1,-23.065802744636613,33.72814668319137,7
A11.D041911.3_8_M.1.1,-34.455541216553954,30.35600559019705,7
A11.D041912.3_8_M.1.1,20.55141987713221,23.572073200400812,43
A11.D041914.3_8_M.1.1,35.99147990729245,16.979207854365175,26
A11.D042044.3_9_M.1.1,18.851930136650058,18.796221585233496,2
A11.D042105.3_11_M.1.1,18.83262227281702,-32.212559613267864,13
A11.D042180.3_10_M.1.1,22.88425089252041,-31.946692650985973,13
A11.D042186.3_8_M.1.1,15.431860203292427,-38.82218635857714,13
A11.D042193.3_8_M.1.1,12.676865499223437,-29.3158284054583,37
A11.D042253.3_9_M.1.1,32.701795577891815,13.418252069419774,26
A11.D042479.3_8_M.1.1,29.861913320219724,-28.19430121326927,40
A11.D043526.3_39_F.1.1,1.5643394701697542,15.985539682449659,2
A11.D045064.3_38_F.1.1,1.0009382615335534,1.4713410697112879,21
A11.D045140.3_38_F.1.1,8.211253800280456,7.958500310958597,28
A11.MAA000385.3_10_M.1.1,8.140085517066197,21.487484067286168,2
A11.MAA000386.3_11_M.1.1,-21.845624173627215,-25.89559206778589,1
A11.MAA000388.3_11_M.1.1,4.803763923733078,-34.485377894810156,5
A11.MAA000398.3_9_M.1.1,-22.427254686517582,-9.261477831417388,31
A11.MAA000409.3_10_M.1.1,18.246393838533912,24.537897975426386,43
A11.MAA000427.3_11_M.1.1,14.786139844558809,-13.730269540270267,6
A11.MAA000439.3_10_M.1.1,11.885278663380841,2.2810047906932485,28
A11.MAA000487.3_10_M.1.1,-22.231801769121514,17.053140521017664,27
A11.MAA000508.3_9_M.1.1,11.545448915457532,14.617572631793628,2
A11.MAA000526.3_9_M.1.1,-0.09601241772588048,-15.86660230970466,4
A11.MAA000530.3_8_M.1.1,-5.330340580320373,-16.231519959380073,4
A11.MAA000531.3_8_M.1.1,-2.9732607511730027,4.350688451681036,21
A11.MAA000556.3_9_M.1.1,4.478365127386966,17.50569759570721,2
A11.MAA000559.3_8_M.1.1,14.299711143411294,19.185777265322166,2
A11.MAA000560.3_10_M.1.1,14.612529095657361,28.21647423244908,42
A11.MAA000561.3_10_M.1.1,13.689199828355493,26.169148240655428,42
A11.MAA000564.3_10_M.1.1,-7.980755250280639,-46.21712084414067,38
A11.MAA000570.3_8_M.1.1,28.983929437324907,-12.836023114225734,11
A11.MAA000572.3_8_M.1.1,37.951054481090665,5.620120054018682,0
A11.MAA000577.3_8_M.1.1,24.175410240035706,14.451095554568125,30
A11.MAA000583.3_9_M.1.1,15.722900978437576,-2.8437130743978383,12
A11.MAA000586.3_8_M.1.1,-1.4479882805147695,-11.018499421856909,4
A11.MAA000590.3_9_M.1.1,32.630603907358406,-1.4047408747186292,0
A11.MAA000596.3_9_M.1.1,-12.419142754000037,29.712923861724374,8
A11.MAA000597.3_9_M.1.1,14.811261304680977,-13.587595966421613,6
A11.MAA000600.3_8_M.1.1,-4.4529118921165205,27.720378908523802,8
A11.MAA000603.3_10_M.1.1,31.909631432192846,3.952446396032744,0
A11.MAA000604.3_10_M.1.1,37.55110851544933,-1.0051868922758693,0
A11.MAA000605.3_10_M.1.1,33.75001409616005,-7.784832912661787,0
A11.MAA000607.3_9_M.1.1,-16.539686405329846,-35.40928583331921,29
A11.MAA000611.3_8_M.1.1,-7.416594891323114,7.752886143102835,22
A11.MAA000612.3_9_M.1.1,-4.53742967350396,12.227779630264292,22
A11.MAA000614.3_10_M.1.1,16.314946728944406,-11.67853452515743,6
A11.MAA000617.3_10_M.1.1,27.19288454299256,-4.528525829641349,0
A11.MAA000639.3_9_M.1.1,21.487168308000435,28.16894603260349,15
A11.MAA000641.3_9_M.1.1,-21.912310056883047,3.5781915995176203,14
A11.MAA000652.3_10_M.1.1,7.882711620891001,14.758141868845449,2
A11.MAA000779.3_11_M.1.1,4.531621970742079,14.58620018972967,2
A11.MAA000801.3_11_M.1.1,-15.49057129829156,-1.557715423227195,14
A11.MAA000844.3_10_M.1.1,11.376216163729662,-27.749012395838463,37
A11.MAA000848.3_10_M.1.1,-8.720007213527758,29.008207577491476,8
A11.MAA000870.3_10_M.1.1,10.422347780548309,-0.6870014464884636,12
A11.MAA000871.3_11_M.1.1,-4.341399877593588,12.669744794087304,22
A11.MAA000877.3_11_M.1.1,20.18435915709556,12.011747191688155,18
A11.MAA000880.3_11_M.1.1,-8.527073816258902,-35.61583060360442,29
A11.MAA000884.3_10_M.1.1,-1.3236141399225172,-1.0519027523028892,19
A11.MAA000902.3_11_M.1.1,-16.252738189659343,11.857785961326961,9
A11.MAA000907.3_11_M.1.1,35.852398668116834,-26.046301914997226,46
A11.MAA000909.3_10_M.1.1,-5.591762022160884,12.54949688998814,22
A11.MAA000913.3_9_M.1.1,17.610231793975508,-23.51226902553441,37
A11.MAA000914.3_9_M.1.1,6.495230280756794,-38.34237421759465,5
A11.MAA000920.3_11_M.1.1,-1.013391759352506,-13.042861482992532,4
A11.MAA000923.3_9_M.1.1,-27.271140956976097,7.290987463527596,32
A11.MAA000926.3_9_M.1.1,-2.5796671109597735,36.303787761745404,25
A11.MAA000927.3_9_M.1.1,21.898021577541943,-17.233120801004766,6
A11.MAA000928.3_9_M.1.1,-33.8254580643854,12.88171811685163,32
A11.MAA000930.3_8_M.1.1,-16.756370874127914,12.113040952915433,9
A11.MAA000932.3_11_M.1.1,0.8264287059150088,27.270132584119768,25
A11.MAA000934.3_9_M.1.1,3.669056511003739,2.2978068605457844,21
A11.MAA000937.3_8_M.1.1,-32.842541536553945,20.40603462725973,16
A11.MAA000938.3_8_M.1.1,18.75727147960786,-9.131973719713695,6
A11.MAA000942.3_8_M.1.1,-7.497740306092293,-45.440621556319314,38
A11.MAA000944.3_9_M.1.1,-30.38385820031593,9.33052607619628,32
A11.MAA001539.3_56_F.1.1,8.176876922747839,-2.010723426084059,12
A11.MAA001632.3_56_F.1.1,-10.76600523766527,8.376317624337883,22
