"","nGene","nReads","orig.ident"
"A20.MAA000903.3_11_M.1.1",1979,784084,"Heart"
"A21.B000412.3_56_F.1.1",2114,825421,"Heart"
"A21.B000633.3_56_F.1.1",2774,988617,"Heart"
"A21.B000634.3_56_F.1.1",3921,1373191,"Heart"
"A21.B002010.3_39_F.1.1",2937,2059643,"Heart"
"A21.B002011.3_38_F.1.1",1561,1141366,"Heart"
"A21.B002427.3_39_F.1.1",1949,1273844,"Heart"
"A21.B002428.3_38_F.1.1",1782,752075,"Heart"
"A21.B002429.3_38_F.1.1",973,506190,"Heart"
"A21.MAA000398.3_9_M.1.1",5611,561854,"Heart"
"A21.MAA000399.3_9_M.1.1",3239,2239590,"Heart"
"A21.MAA000400.3_8_M.1.1",3890,1169625,"Heart"
"A21.MAA000903.3_11_M.1.1",3759,1286716,"Heart"
"A21.MAA000919.3_10_M.1.1",4297,1315241,"Heart"
"A22.B000633.3_56_F.1.1",2802,731584,"Heart"
"A22.B000636.3_56_F.1.1",1200,654029,"Heart"
"A22.B002010.3_39_F.1.1",3069,2212173,"Heart"
"A22.B002011.3_38_F.1.1",1646,1154093,"Heart"
"A22.B002421.3_39_F.1.1",1917,989913,"Heart"
"A22.B002423.3_39_F.1.1",1206,401612,"Heart"
"A22.B002427.3_39_F.1.1",2074,913358,"Heart"
"A22.B002428.3_38_F.1.1",3062,627602,"Heart"
"A22.B002429.3_38_F.1.1",1107,507412,"Heart"
"A22.MAA000398.3_9_M.1.1",4425,734562,"Heart"
"A22.MAA000589.3_9_M.1.1",1383,96766,"Heart"
"A22.MAA000899.3_10_M.1.1",3930,1183546,"Heart"
"A22.MAA000901.3_10_M.1.1",1754,380946,"Heart"
"A22.MAA000919.3_10_M.1.1",4524,1347000,"Heart"
"A3.B000412.3_56_F.1.1",1865,404168,"Heart"
"A3.B000633.3_56_F.1.1",5748,480126,"Heart"
"A3.B002010.3_39_F.1.1",3562,1497944,"Heart"
"A3.B002427.3_39_F.1.1",1960,481901,"Heart"
"A3.B002428.3_38_F.1.1",2109,515428,"Heart"
"A3.MAA000398.3_9_M.1.1",4751,419277,"Heart"
"A3.MAA000400.3_8_M.1.1",3754,1072244,"Heart"
"A3.MAA000586.3_8_M.1.1",2908,1028702,"Heart"
"A3.MAA000589.3_9_M.1.1",1364,65779,"Heart"
"A3.MAA000901.3_10_M.1.1",784,190337,"Heart"
"A3.MAA000920.3_11_M.1.1",3189,1097814,"Heart"
"A4.B000412.3_56_F.1.1",2261,770033,"Heart"
"A4.B000633.3_56_F.1.1",5585,256737,"Heart"
"A4.B000634.3_56_F.1.1",3061,456277,"Heart"
"A4.B002010.3_39_F.1.1",1265,457538,"Heart"
"A4.B002011.3_38_F.1.1",1555,541128,"Heart"
"A4.B002421.3_39_F.1.1",698,162498,"Heart"
"A4.B002423.3_39_F.1.1",1493,344572,"Heart"
"A4.B002427.3_39_F.1.1",3339,680673,"Heart"
"A4.MAA000400.3_8_M.1.1",4456,1220425,"Heart"
