"","tSNE_1","tSNE_2"
"P9.MAA000386.3_11_M.1.1",-18.6837809089662,25.9576148889055
"M15.MAA000386.3_11_M.1.1",-17.9485556396185,7.35865832837519
"C14.MAA000386.3_11_M.1.1",18.8844613371187,8.0809403247594
"F10.MAA000386.3_11_M.1.1",-24.4814719887967,20.1316877583896
"I11.MAA000386.3_11_M.1.1",19.0994477685442,9.72018001406719
"L9.MAA000386.3_11_M.1.1",-20.3053681533771,16.0610805350091
"P10.MAA000386.3_11_M.1.1",20.0088925136966,11.3786918394984
"M16.MAA000386.3_11_M.1.1",-25.0242801402118,20.5842906986943
"C15.MAA000386.3_11_M.1.1",-19.2787635545195,16.7645670690166
"F11.MAA000386.3_11_M.1.1",20.3452135245509,6.52363049276962
"I12.MAA000386.3_11_M.1.1",-16.8165839061873,8.64340789088658
"L10.MAA000386.3_11_M.1.1",21.4053927792431,-1.89821148747944
"P11.MAA000386.3_11_M.1.1",-22.6817632593191,19.0203176124802
"C16.MAA000386.3_11_M.1.1",-24.8104267586703,20.627433155729
"F12.MAA000386.3_11_M.1.1",19.6716287708595,9.66091882942428
"I13.MAA000386.3_11_M.1.1",-18.7791005390926,13.496881809668
"L11.MAA000386.3_11_M.1.1",-21.9654867108687,25.8548479390652
"P12.MAA000386.3_11_M.1.1",17.1250320056077,11.2671265102703
"O9.MAA000386.3_11_M.1.1",-16.7940805649245,15.8442305002472
"F13.MAA000386.3_11_M.1.1",-25.2156178272918,20.882037622787
"I14.MAA000386.3_11_M.1.1",19.5486950069977,7.5550632993484
"P13.MAA000386.3_11_M.1.1",-21.4728923069892,14.6523430132408
"L13.MAA000386.3_11_M.1.1",-24.1044066281447,19.6325449601822
"O10.MAA000386.3_11_M.1.1",-24.2066935639969,20.3313639858883
"P14.MAA000386.3_11_M.1.1",-19.8750133370285,16.6800972120731
"F14.MAA000386.3_11_M.1.1",21.3009433691335,-3.73861750203775
"I15.MAA000386.3_11_M.1.1",19.2275986492642,1.81098178386425
"L14.MAA000386.3_11_M.1.1",18.6359628622958,8.40862583591773
"O11.MAA000386.3_11_M.1.1",20.2741874263149,11.0628178917323
"P15.MAA000386.3_11_M.1.1",21.9461740580065,-3.2053512953352
"F15.MAA000386.3_11_M.1.1",16.9488932568832,10.2516106591977
"I16.MAA000386.3_11_M.1.1",-24.6443433116252,21.3800562290729
"L15.MAA000386.3_11_M.1.1",-25.1676227425404,20.8613162565469
"O12.MAA000386.3_11_M.1.1",-24.0921424416958,19.5176042932951
"P16.MAA000386.3_11_M.1.1",19.8274909598948,3.92933144218262
"F16.MAA000386.3_11_M.1.1",20.2174178958164,8.82439069893287
"L16.MAA000386.3_11_M.1.1",-23.3047316728049,19.5543610319948
"O13.MAA000386.3_11_M.1.1",-19.5682314172745,19.9540832486345
"K9.MAA000386.3_11_M.1.1",19.1046217619598,8.84892554695783
"O14.MAA000386.3_11_M.1.1",-5.02160425712469,20.4308898518402
"F17.MAA000386.3_11_M.1.1",16.7598913197264,12.1339581059692
"E9.MAA000386.3_11_M.1.1",-25.4461906574812,19.7150789775834
"H9.MAA000386.3_11_M.1.1",-17.9141378881617,7.37544375123351
"K10.MAA000386.3_11_M.1.1",17.9202886199444,6.18146844639992
"N9.MAA000386.3_11_M.1.1",-23.0788565761945,19.5868145278021
"O15.MAA000386.3_11_M.1.1",16.8053126728347,11.2634446206505
"E10.MAA000386.3_11_M.1.1",16.2275165619375,12.3226096028495
"H10.MAA000386.3_11_M.1.1",-23.8710690648586,19.7251763083634
"K11.MAA000386.3_11_M.1.1",-22.4009346089117,18.7427032621377
"N10.MAA000386.3_11_M.1.1",-20.6689116410433,18.2986964867732
