"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Frem2",4.46014848394555e-51,0.622802307872684,0.695,0.183,"1","Frem2"
"Bcam",8.13135582279535e-50,0.76194578519804,0.975,0.839,"1","Bcam"
"S100a4",1.09351949734792e-47,0.567595068244837,0.557,0.355,"1","S100a4"
"Cnksr3",7.93691436980808e-42,0.402592290779218,0.631,0.373,"1","Cnksr3"
"Col4a6",3.51583990047113e-41,0.317183808043847,0.542,0.113,"1","Col4a6"
"Fat1",4.2568102792135e-40,0.484096665819683,0.892,0.663,"1","Fat1"
"D630045J12Rik",1.12263707173548e-39,0.599754504155412,0.833,0.514,"1","D630045J12Rik"
"Krt241",2.18023356886232e-38,0.451161413796966,0.921,0.551,"1","Krt24"
"Itga61",6.45222588538283e-38,0.612997423496363,0.975,0.805,"1","Itga6"
"Sema6d",6.52598845822633e-38,0.38029162009506,0.507,0.158,"1","Sema6d"
"Dlx3",3.49565799090647e-37,0.430744699908092,0.665,0.381,"1","Dlx3"
"Sostdc1",6.24667215006687e-37,1.02543514204508,0.567,0.243,"1","Sostdc1"
"Cyr611",1.44089606342392e-36,1.2388864849995,0.837,0.597,"1","Cyr61"
"Krt171",2.0013773289163e-36,0.925274563687593,0.961,0.771,"1","Krt17"
"Ccnd1",5.33003395932793e-36,0.710579850984078,0.975,0.796,"1","Ccnd1"
"Itgb41",9.03787853442492e-36,0.708512451124303,0.99,0.819,"1","Itgb4"
"Id4",2.77699042127774e-35,0.450229929188755,0.754,0.434,"1","Id4"
"Tns4",4.06684214572172e-35,0.690278437448087,0.926,0.729,"1","Tns4"
"Igfbp2",6.02964865569243e-35,0.340306022005578,1,0.95,"1","Igfbp2"
"Wnt10a",6.70786813839759e-35,0.687480994404853,0.911,0.672,"1","Wnt10a"
"Foxq1",1.4572263777771e-34,0.628733274461987,0.507,0.152,"1","Foxq1"
"Hist1h2bc",3.95769044225414e-34,0.530700185319464,0.961,0.91,"1","Hist1h2bc"
"Epb4.1l1",1.79773972526964e-33,0.360134853864242,0.626,0.38,"1","Epb4.1l1"
"Lamb1",4.4446798612503e-33,0.468882076291725,0.419,0.123,"1","Lamb1"
"Plscr3",5.72682106366118e-32,0.292541740400491,0.813,0.678,"1","Plscr3"
"Golim4",6.9272460670732e-32,0.538176802175819,0.961,0.887,"1","Golim4"
"Crlf31",4.93222801487339e-31,0.584329692822722,0.842,0.591,"1","Crlf3"
"Kazald11",1.06619923736102e-30,0.621967043233022,0.862,0.488,"1","Kazald1"
"Bcl11b",2.22457877233989e-30,0.549913680785564,0.985,0.868,"1","Bcl11b"
"Ecm1",1.05158074654302e-29,0.564626640745405,0.941,0.84,"1","Ecm1"
"Slc7a1",1.69753714789767e-29,0.485107394224665,0.813,0.727,"1","Slc7a1"
"Col18a1",1.83375676715801e-29,0.528337328683359,0.847,0.537,"1","Col18a1"
"Gm16907",1.34527262889273e-28,0.404476977601642,0.749,0.521,"1","Gm16907"
"Lama3",1.87930977807868e-28,0.550725897571797,0.823,0.49,"1","Lama3"
"Slit3",6.62771368390894e-27,0.270386828605924,0.571,0.304,"1","Slit3"
"Cd59a",1.38439175816983e-26,0.402664754234294,0.438,0.123,"1","Cd59a"
"Cspg4",2.91239652937987e-26,0.37739872867709,0.744,0.411,"1","Cspg4"
"Lmo4",3.14857457100331e-26,0.303340552780589,0.892,0.756,"1","Lmo4"
"Ngfr",4.13593647965265e-26,0.363529656529082,0.409,0.128,"1","Ngfr"
"Ltbp1",6.64159163141991e-26,0.691504244586227,0.754,0.632,"1","Ltbp1"
"Ly6a",1.75157779808574e-25,0.600808537177617,0.985,0.864,"1","Ly6a"
"Spink51",5.18903649001892e-25,0.90759103556358,0.788,0.493,"1","Spink5"
"Id2",7.06387434699829e-25,0.570205184475286,0.98,0.848,"1","Id2"
"Angptl2",7.124123201609e-25,0.396757097688009,0.33,0.1,"1","Angptl2"
"Arl4a1",7.62210109334954e-25,0.532424909790684,0.936,0.826,"1","Arl4a"
"Prrx2",5.59651139828075e-24,0.26244350250815,0.384,0.111,"1","Prrx2"
"Fads2",6.56882931134331e-24,0.455741508073681,0.695,0.35,"1","Fads2"
"Lamb31",7.05822797595176e-24,0.477482977224943,0.985,0.744,"1","Lamb3"
"Sox4",1.24341860114329e-23,0.450990962317922,0.936,0.718,"1","Sox4"
"Ak1",2.5303920253228e-23,0.385774458910896,0.586,0.245,"1","Ak1"
"Fam132a",3.52570168645199e-23,0.340317283927219,0.522,0.449,"1","Fam132a"
"Antxr1",4.14306940330472e-23,0.443325443299644,0.823,0.547,"1","Antxr1"
"Htra1",4.28344399422275e-23,0.522505597321804,0.67,0.406,"1","Htra1"
"Gnai1",6.2539921753478e-23,0.467061077955144,0.941,0.859,"1","Gnai1"
"Galnt1",7.0720241200878e-23,0.33624581308632,0.734,0.63,"1","Galnt1"
"Auts2",7.6211995513693e-23,0.258021048185834,0.783,0.492,"1","Auts2"
"Fam71a",2.38871957678774e-22,0.353940075759309,0.458,0.165,"1","Fam71a"
"Clic4",2.82471995351931e-22,0.412407506820882,0.877,0.781,"1","Clic4"
"Ehd2",5.19724250639889e-22,0.509787908007537,0.911,0.732,"1","Ehd2"
"Scpep1",8.26699211470121e-22,0.482668802858932,0.759,0.647,"1","Scpep1"
"Fxyd4",5.83859234477987e-21,0.308590025364009,0.562,0.405,"1","Fxyd4"
"Flrt2",1.56331441240053e-20,0.288462878033103,0.276,0.086,"1","Flrt2"
"Col7a1",2.29930419611553e-20,0.306289533119497,0.64,0.356,"1","Col7a1"
"Sh3d19",3.46468432486547e-20,0.348452095372445,0.813,0.68,"1","Sh3d19"
"Jub",6.91477504044212e-20,0.495055238775927,0.798,0.554,"1","Jub"
"Fam167a",8.92730415121415e-20,0.415053390110851,0.837,0.585,"1","Fam167a"
"Macf1",1.27453245511793e-19,0.414381733842419,0.906,0.8,"1","Macf1"
"Itgb11",1.84701901820909e-19,0.458098213685467,0.97,0.872,"1","Itgb1"
"Itpr3",6.53664450718763e-19,0.35142207374426,0.852,0.666,"1","Itpr3"
"Pbx1",1.0678238511453e-18,0.355178914411292,0.7,0.567,"1","Pbx1"
"Tcf7",1.27436992624083e-18,0.356480879022282,0.616,0.388,"1","Tcf7"
"Ccdc3",1.40476345460667e-18,0.508759487558292,0.956,0.821,"1","Ccdc3"
"Lamc21",1.59091389951179e-18,0.487910428940859,0.882,0.699,"1","Lamc2"
"Cachd1",1.63215704426144e-18,0.363112852572971,0.803,0.63,"1","Cachd1"
"Mmp14",1.75386556372146e-18,0.420868599727604,0.906,0.81,"1","Mmp14"
"Rps6ka1",1.91895111965288e-18,0.440812221841451,0.803,0.626,"1","Rps6ka1"
"Ly6c1",2.98024109836024e-18,0.432883565623877,0.759,0.517,"1","Ly6c1"
"Tinagl1",4.50619574747823e-18,0.465896418900781,0.778,0.541,"1","Tinagl1"
"Dlk2",3.2744306020852e-17,0.432620346493897,0.522,0.244,"1","Dlk2"
"Vldlr",3.28727367531001e-17,0.26779373030761,0.478,0.186,"1","Vldlr"
"4933407C03Rik",3.32681843288663e-17,0.368522449670792,0.936,0.871,"1","4933407C03Rik"
"Maf",4.56312085944464e-17,0.292426257965886,0.729,0.501,"1","Maf"
"Moxd1",6.31913093019908e-17,0.51049306028532,0.956,0.809,"1","Moxd1"
"Afap1l2",9.05699545442151e-17,0.322937638870259,0.596,0.458,"1","Afap1l2"
"Agrn",1.41857670602183e-16,0.290056570990622,0.768,0.472,"1","Agrn"
"Ankrd29",1.51350412543083e-16,0.361120983363806,0.557,0.306,"1","Ankrd29"
"Ghr",1.76287892876781e-16,0.306365069649002,0.473,0.294,"1","Ghr"
"Dkk3",2.63764684256057e-16,0.4610765723848,0.862,0.615,"1","Dkk3"
"Jag2",1.14674170104817e-15,0.29925025947554,0.764,0.487,"1","Jag2"
"Myh14",1.68341543572574e-15,0.369194946507352,0.803,0.617,"1","Myh14"
"Slc12a4",2.92860241320558e-15,0.376522463102205,0.66,0.374,"1","Slc12a4"
"Ccdc109b",6.43913153310423e-15,0.303809510342875,0.429,0.231,"1","Ccdc109b"
"Gm941",9.52889804840087e-15,0.549603591978052,0.759,0.479,"1","Gm94"
"Fjx1",2.60090024539947e-14,0.386631922336894,0.616,0.463,"1","Fjx1"
"Id11",3.65459935599744e-14,0.419491715332071,0.897,0.713,"1","Id1"
"Mical2",3.9362994872177e-14,0.259733513361818,0.645,0.503,"1","Mical2"
"Il6ra",4.17056594130522e-14,0.328126954125945,0.857,0.803,"1","Il6ra"
"Ccni",6.50073197627255e-14,0.308345361535602,0.921,0.868,"1","Ccni"
"Ano1",7.02789540471425e-14,0.272814392301032,0.493,0.325,"1","Ano1"
"Gas1",2.35538190009167e-13,0.477326817598111,0.788,0.642,"1","Gas1"
"Calhm2",3.17883741970498e-13,0.301652065658062,0.305,0.116,"1","Calhm2"
"Trp53inp1",3.98059681502707e-13,0.254755172686561,0.532,0.279,"1","Trp53inp1"
"Trp63",6.48645441161378e-13,0.370018867274028,0.975,0.894,"1","Trp63"
"Tjap1",6.70172598233203e-13,0.251903329687485,0.547,0.359,"1","Tjap1"
"4931408A02Rik",7.43682285733212e-13,0.301545552683397,0.547,0.387,"1","4931408A02Rik"
"Eya2",8.50017132927331e-13,0.487540936283636,0.478,0.27,"1","Eya2"
"Itga3",9.40597389759285e-13,0.304687870762969,0.783,0.56,"1","Itga3"
"Porcn",1.05371039122298e-12,0.393064069671188,0.695,0.53,"1","Porcn"
"Tacc2",1.62550997413579e-12,0.253971178536461,0.833,0.774,"1","Tacc2"
"Mxi1",2.38448031585819e-12,0.284067796565025,0.611,0.53,"1","Mxi1"
"Ormdl3",4.34345725524906e-12,0.280892573135977,0.665,0.595,"1","Ormdl3"
"Sfxn3",5.48051290448728e-12,0.294799371160108,0.601,0.394,"1","Sfxn3"
"Ldlrad3",7.66299765104336e-12,0.297160738404113,0.65,0.511,"1","Ldlrad3"
"Smad5",8.13096654357521e-12,0.306568192580755,0.69,0.571,"1","Smad5"
"Cpn1",8.84068773719609e-12,0.315025052272511,0.695,0.53,"1","Cpn1"
"P2ry1",1.05760579574257e-11,0.305787978142469,0.517,0.361,"1","P2ry1"
"Rbbp8",1.40917877971361e-11,0.305775453105698,0.783,0.665,"1","Rbbp8"
"Rnase4",1.52272912502866e-11,0.364360861508549,0.887,0.782,"1","Rnase4"
"Bicd2",1.88100811853157e-11,0.345390806919858,0.818,0.749,"1","Bicd2"
"Leprel1",1.96400593289951e-11,0.367738565186611,0.704,0.611,"1","Leprel1"
"Dll11",2.99178035663528e-11,0.432804940703181,0.502,0.285,"1","Dll1"
"Lama5",3.72051166541031e-11,0.253905069475863,0.571,0.401,"1","Lama5"
"Mxd4",6.83988743754014e-11,0.255444540848582,0.734,0.61,"1","Mxd4"
"Slc6a4",7.83230888060964e-11,0.305613069850132,0.522,0.3,"1","Slc6a4"
"Tmem45a",1.0520929192077e-10,0.255322236080575,0.448,0.213,"1","Tmem45a"
"Mtap4",1.21969471088659e-10,0.266801143589065,0.729,0.657,"1","Mtap4"
"Slc12a21",2.63882393576203e-10,0.341466399956409,0.921,0.778,"1","Slc12a2"
"Cdh13",2.9057213997808e-10,0.401168906602516,0.793,0.587,"1","Cdh13"
"Camk1d1",3.61543879653049e-10,0.290408307642817,0.719,0.615,"1","Camk1d"
"Cbs",7.29827251231229e-10,0.303231557233587,0.429,0.223,"1","Cbs"
"Fam107b",7.58124630919961e-10,0.302977235384949,0.586,0.462,"1","Fam107b"
"Serpinb8",8.73159951457936e-10,0.252013703864988,0.567,0.385,"1","Serpinb8"
"Ptk7",1.37022167376322e-09,0.305558214358228,0.833,0.735,"1","Ptk7"
"Ninj1",1.53263180287457e-09,0.257740212564925,0.626,0.507,"1","Ninj1"
"Gdpd2",6.98159108183152e-09,0.381153569903455,0.596,0.432,"1","Gdpd2"
"Arrdc1",2.83635355559859e-08,0.264876049699401,0.542,0.491,"1","Arrdc1"
"Ugdh",3.3751897702466e-08,0.268193332980289,0.842,0.705,"1","Ugdh"
"Entpd31",3.68116677448113e-08,0.301298284186685,0.488,0.353,"1","Entpd3"
"Procr1",5.34843990039323e-08,0.310861433216269,0.719,0.558,"1","Procr"
"Zfp185",5.69205430588315e-08,0.275002568854659,0.798,0.746,"1","Zfp185"
"Ankrd10",4.00720295004995e-07,0.30061344299375,0.611,0.511,"1","Ankrd10"
"Spon2",4.36809232413844e-07,0.330959924899295,0.502,0.318,"1","Spon2"
"Il17re",6.07311626385868e-07,0.282065268269894,0.532,0.374,"1","Il17re"
"Bambi1",2.80490342082533e-06,0.3253470474588,0.562,0.385,"1","Bambi"
"Cd24a",2.86704128406481e-06,0.263403914679847,0.956,0.884,"1","Cd24a"
"Cdc42ep3",2.19029005373627e-05,0.257067586510019,0.704,0.616,"1","Cdc42ep3"
"Adm",2.47127167048483e-05,0.353161109016863,0.586,0.438,"1","Adm"
"Il1r2",6.61820572749055e-05,0.680050776452802,0.33,0.231,"1","Il1r2"
"Igfbp41",9.1945081725378e-05,0.299102475466891,0.581,0.483,"1","Igfbp4"
"Hmgb22",9.5992372349358e-279,1.58504653130285,1,0.899,"2","Hmgb2"
"Tubb51",1.3265604766456e-238,2.09089095112481,0.975,0.795,"2","Tubb5"
"Smc42",3.4118443213352e-234,1.51708908449108,1,0.623,"2","Smc4"
"Tuba1b1",2.12086001069047e-225,1.75826305811339,0.995,0.913,"2","Tuba1b"
