"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Slc7a5",1.47869326679279e-155,0.306185887905273,0.452,0.236,"0","Slc7a5"
"Tspo",1.536515891627e-155,0.285571394010923,0.986,0.926,"0","Tspo"
"Eif4b",1.90142907668921e-154,0.316978718543546,0.937,0.884,"0","Eif4b"
"Itgb4",1.63465747597291e-152,0.352766720899051,0.804,0.5,"0","Itgb4"
"Tpr",3.03033402998445e-151,0.336235848487609,0.79,0.74,"0","Tpr"
"Tgif1",1.46799280582731e-147,0.438746703538966,0.778,0.604,"0","Tgif1"
"Itm2c",3.68487817400509e-144,0.32472259209813,0.65,0.442,"0","Itm2c"
"Atp1a1",3.74457430519911e-142,0.358209896397143,0.978,0.911,"0","Atp1a1"
"Arpc1b",1.08739637859119e-141,0.325089401959482,0.75,0.523,"0","Arpc1b"
"Impdh2",3.10899704303596e-141,0.323705449523055,0.959,0.902,"0","Impdh2"
"Aldh2",1.95648627301508e-140,0.334252175838458,0.854,0.719,"0","Aldh2"
"Cav1",3.70421961577671e-139,0.329617461396756,0.632,0.324,"0","Cav1"
"Hpgd",2.10446723017926e-137,0.499647978690957,0.56,0.35,"0","Hpgd"
"Pdlim1",2.27659796003368e-137,0.285984318166997,0.983,0.922,"0","Pdlim1"
"Paics",2.72116885876e-136,0.339819792811405,0.829,0.616,"0","Paics"
"Ntrk2",5.61676636502121e-131,0.292408050443078,0.717,0.601,"0","Ntrk2"
"Lgals1",5.52765035329125e-130,0.305577997248032,0.422,0.163,"0","Lgals1"
"Cdk4",3.48507009556631e-129,0.297345731170582,0.923,0.847,"0","Cdk4"
"Gclm",2.17180705748326e-127,0.310490652075097,0.678,0.473,"0","Gclm"
"Cotl1",4.39453676424543e-127,0.32559907859376,0.795,0.543,"0","Cotl1"
"Serpinb6a",2.71414749728863e-126,0.301187758745307,0.858,0.613,"0","Serpinb6a"
"St3gal4",5.73550233591397e-125,0.281872925050437,0.425,0.181,"0","St3gal4"
"Slc6a6",2.78721061632415e-124,0.380484752046716,0.741,0.475,"0","Slc6a6"
"Angptl4",2.21649908534345e-120,0.269353227782892,0.275,0.093,"0","Angptl4"
"Nbl1",1.28932957021797e-118,0.301184465405164,0.659,0.467,"0","Nbl1"
"Ppic",2.26418046509732e-118,0.303502722056048,0.759,0.508,"0","Ppic"
"1300014I06Rik",1.18376443255073e-114,0.46094610747529,0.653,0.493,"0","1300014I06Rik"
"Nap1l1",2.44112817985729e-112,0.271991502844826,0.907,0.813,"0","Nap1l1"
"Tspan3",7.62532293245211e-109,0.254549018476272,0.703,0.595,"0","Tspan3"
"Phgdh",2.59097081233825e-108,0.325818239022249,0.844,0.662,"0","Phgdh"
"Nfib",2.86892112343314e-107,0.297960865168818,0.776,0.611,"0","Nfib"
"Prr7",5.60646270034808e-102,0.262567528599366,0.512,0.304,"0","Prr7"
"Capns1",1.31249937871615e-99,0.258364843144117,0.895,0.749,"0","Capns1"
"Ccnd1",1.06027800512462e-97,0.31199410779456,0.732,0.501,"0","Ccnd1"
"Tmem176b",3.95000111973454e-89,0.267161117916024,0.606,0.422,"0","Tmem176b"
"Oat",1.55185088383049e-88,0.269473840956655,0.817,0.654,"0","Oat"
"Icam1",2.15990092727061e-88,0.379825666321802,0.674,0.455,"0","Icam1"
"Cdca7",5.53177568561783e-84,0.259753734915177,0.483,0.272,"0","Cdca7"
"Lmo1",1.38423879652273e-80,0.252996432564035,0.821,0.686,"0","Lmo1"
"Irf1",3.79454058144321e-77,0.267453766972045,0.484,0.375,"0","Irf1"
"Id3",5.05416368047992e-76,0.358750687795129,0.926,0.874,"0","Id3"
"Plac9",4.62985297162583e-75,0.274903077365656,0.718,0.565,"0","Plac9"
"Serpine2",7.91785773382045e-65,0.34585734143077,0.463,0.26,"0","Serpine2"
"Sostdc1",1.65536926181347e-60,0.323130711369655,0.358,0.185,"0","Sostdc1"
"Id2",5.48917411272357e-47,0.271123066777341,0.788,0.71,"0","Id2"
"Epcam",7.01235339235757e-43,0.252450392008477,0.759,0.66,"0","Epcam"
"Socs3",4.33644938931444e-37,0.272620918421748,0.733,0.64,"0","Socs3"
"Krt4",0,3.52828433374417,0.994,0.911,"1","Krt4"
"Krt13",0,1.98298035846538,0.999,0.808,"1","Krt13"
"2610528A11Rik1",0,1.82084226892632,0.912,0.389,"1","2610528A11Rik"
"Ada1",0,1.70194633054785,0.526,0.245,"1","Ada"
"Krt231",0,1.50855135518857,0.595,0.152,"1","Krt23"
"Aldh3a11",0,1.372807283444,0.954,0.685,"1","Aldh3a1"
"Pir1",0,1.20909337887581,0.96,0.676,"1","Pir"
"1110032A04Rik",0,1.15074309154975,0.658,0.064,"1","1110032A04Rik"
"Krt321",0,1.1278004023918,0.933,0.249,"1","Krt32"
"Calml3",0,0.981870566723617,0.992,0.882,"1","Calml3"
"Cyp2f2",0,0.959641099982342,0.552,0.083,"1","Cyp2f2"
"Gsn1",0,0.916920228334504,0.935,0.684,"1","Gsn"
"Mgst1",0,0.792089616296606,0.785,0.292,"1","Mgst1"
"Pycard1",0,0.746970515779313,0.986,0.866,"1","Pycard"
"Ces1b1",0,0.596456573468192,0.721,0.188,"1","Ces1b"
"Rab251",0,0.550182869031517,0.999,0.938,"1","Rab25"
"Tmprss4",0,0.547759168064237,0.664,0.095,"1","Tmprss4"
"Rnase1",0,0.342316773751701,0.415,0.028,"1","Rnase1"
"Serpinb121",8.81943788090982e-316,1.48391566440726,0.545,0.141,"1","Serpinb12"
"Them5",8.48548901475083e-315,0.654820301457565,0.996,0.941,"1","Them5"
"Crabp2",2.0206129085753e-310,0.684964151501786,0.435,0.106,"1","Crabp2"
"Rhov1",9.89252312544721e-305,0.452214165494423,0.83,0.304,"1","Rhov"
"Barx21",7.3702731957573e-302,0.662864206092092,0.979,0.668,"1","Barx2"
"Ces1d",6.69882107358647e-293,0.484672750636544,0.413,0.038,"1","Ces1d"
"Gsta21",1.71705797237898e-292,0.457092568904509,0.633,0.155,"1","Gsta2"
"Chchd10",3.06714995874883e-288,0.53909073650329,0.902,0.552,"1","Chchd10"
"Fbp2",8.76865682306698e-268,0.464590911213698,0.696,0.245,"1","Fbp2"
"Tgm31",9.80975889895372e-260,0.849044125006533,0.873,0.445,"1","Tgm3"
"Lor1",4.67299016876119e-259,1.30195572616986,0.483,0.381,"1","Lor"
"Lypd31",4.5807614796594e-254,0.322092371214123,0.993,0.806,"1","Lypd3"
"Gsdmc",2.14051486850281e-246,0.293414102662939,0.393,0.059,"1","Gsdmc"
"Gm941",2.1162844123762e-240,0.645105887820512,0.914,0.59,"1","Gm94"
"Hadh",1.92511251546946e-237,0.434571244303899,0.939,0.817,"1","Hadh"
"H2afj1",2.93325950779826e-236,0.583605127191718,0.985,0.904,"1","H2afj"
"Fabp6",1.74631082560723e-232,0.299097277597494,0.621,0.186,"1","Fabp6"
"Sult2b11",1.90377338344267e-225,0.550982845753665,0.854,0.432,"1","Sult2b1"
"Pmvk1",1.97348970517824e-221,0.44736992555886,0.707,0.365,"1","Pmvk"
"Hebp21",1.01185531585443e-217,0.472183545875655,0.819,0.391,"1","Hebp2"
"Fdps1",2.70130060038878e-216,0.651091116189129,0.858,0.512,"1","Fdps"
"Calm41",6.19606290045437e-216,0.832438836130262,0.978,0.858,"1","Calm4"
"Fdft11",2.7134543570559e-214,0.413727480181408,0.708,0.295,"1","Fdft1"
"Csta",3.82167411926045e-211,0.495533550588299,0.735,0.365,"1","Csta"
"Aldh3b21",4.22757977076524e-203,0.482957811797238,0.907,0.562,"1","Aldh3b2"
"Serpinb3a1",2.66726016360656e-202,1.46689971650094,0.552,0.261,"1","Serpinb3a"
"2310002L13Rik1",3.29174596193109e-197,0.524507837264614,0.82,0.411,"1","2310002L13Rik"
"Gm37761",3.35892927372277e-196,0.375843599675402,0.506,0.128,"1","Gm3776"
"Serpinb1a",7.48055141159938e-195,0.331943543421378,0.59,0.202,"1","Serpinb1a"
"Dsc21",3.11357638496459e-194,0.515533288719706,0.806,0.395,"1","Dsc2"
"Pgd",1.56800369942366e-190,0.359388402801469,0.783,0.454,"1","Pgd"
"Cyp4f391",7.4390779855459e-188,0.302272602685143,0.776,0.361,"1","Cyp4f39"
"Ly6g6e1",8.46779519986913e-187,0.291583257716765,0.705,0.299,"1","Ly6g6e"
"Gpx2",9.41865386431828e-186,0.559648990679001,0.985,0.923,"1","Gpx2"
"Ifi202b",1.0674964100225e-185,0.533786473630026,0.63,0.241,"1","Ifi202b"
"Ggh1",7.68366187335234e-183,0.52749329604295,0.794,0.494,"1","Ggh"
"Dhcr24",6.32813303017205e-182,0.299019608551555,0.521,0.169,"1","Dhcr24"
"Gltp1",7.1757847630141e-182,0.352371010061541,0.994,0.93,"1","Gltp"
"Gstm1",2.54060894253157e-181,0.539786028191275,0.961,0.792,"1","Gstm1"
"Idi11",6.38071817012625e-181,0.388152618696382,0.732,0.337,"1","Idi1"
"Ptgr11",1.99478285226684e-177,0.677331722819812,0.829,0.585,"1","Ptgr1"
"2310033E01Rik1",3.48477880856987e-174,0.281106132121342,0.835,0.474,"1","2310033E01Rik"
"Asprv11",1.24590127681056e-173,0.532569709094781,0.493,0.22,"1","Asprv1"
"Il17rc1",3.74038710281882e-173,0.364105546108175,0.843,0.521,"1","Il17rc"
"Ralbp11",2.69864216869652e-169,0.449739120824139,0.978,0.897,"1","Ralbp1"
"Capns21",2.10638187869959e-167,0.451415151013721,0.919,0.611,"1","Capns2"
"Dgat21",1.12120938097752e-164,0.346253300620553,0.718,0.353,"1","Dgat2"
"Car13",9.90166753215938e-163,0.3270800380839,0.763,0.425,"1","Car13"
"Eif4ebp1",1.70782979850652e-162,0.300499287788981,0.76,0.387,"1","Eif4ebp1"
"Pkp11",1.78106143165795e-158,0.333112859964443,0.982,0.847,"1","Pkp1"
"Bag21",2.15633662366249e-157,0.304636574615034,0.716,0.33,"1","Bag2"
"Gsta11",6.38151814218491e-156,0.284927089814081,0.54,0.183,"1","Gsta1"
"Pdlim21",2.37718703237465e-154,0.377382194986604,0.837,0.475,"1","Pdlim2"
"Il13ra1",5.02243076713975e-154,0.250190089177399,0.672,0.293,"1","Il13ra1"
"Blvrb",3.24370334061982e-152,0.320945272842832,0.742,0.471,"1","Blvrb"
"Krtdap1",8.8711719454082e-152,0.801495813533887,0.911,0.734,"1","Krtdap"
"1190002H23Rik",4.34700737263173e-151,0.449830880931,0.616,0.273,"1","1190002H23Rik"
"Capg",5.17878275837682e-151,0.380365476627515,0.995,0.936,"1","Capg"
"Acadm",2.05640545449197e-150,0.308483216447124,0.802,0.488,"1","Acadm"
"Atf5",3.52788109850167e-147,0.265703924100383,0.639,0.293,"1","Atf5"
"Acer11",3.74857035046356e-147,0.267435722649167,0.643,0.279,"1","Acer1"
"Dsg3",1.52679400009704e-145,0.331926931721029,0.718,0.403,"1","Dsg3"
"Rbp21",9.63648007566347e-144,0.506409982369856,0.605,0.245,"1","Rbp2"
"Ppl1",1.77074473791181e-140,0.405812478312537,0.591,0.264,"1","Ppl"
"Slc5a11",6.15779697928204e-140,0.336864227882771,0.622,0.263,"1","Slc5a1"
"Elf31",3.00179357465166e-138,0.402373896811626,0.814,0.49,"1","Elf3"
"Pdzk1ip11",4.52993649664097e-138,0.420152286703271,0.633,0.277,"1","Pdzk1ip1"
"Cyp511",2.84227421462129e-137,0.311507343729417,0.671,0.314,"1","Cyp51"
"Clic31",3.48188301339546e-137,0.429467594703911,0.743,0.401,"1","Clic3"
"Mall1",3.54534843187392e-137,0.294367609748165,0.741,0.38,"1","Mall"
"Psapl11",1.21891459753758e-136,0.534956258656578,0.637,0.289,"1","Psapl1"
"Hs3st1",4.17284561160685e-135,0.33672415221467,0.485,0.201,"1","Hs3st1"
"P4hb1",8.88482852451925e-134,0.370192316505797,0.879,0.774,"1","P4hb"
"Itpkc1",1.09665901305286e-133,0.43414431127591,0.787,0.514,"1","Itpkc"
"Chit11",1.52614244182867e-132,0.397426734206182,0.937,0.704,"1","Chit1"
"Rbp71",2.48957046366021e-131,0.307386325678423,0.59,0.248,"1","Rbp7"
"Emp21",5.35029107998017e-131,0.361332425094939,0.976,0.859,"1","Emp2"
"Tmprss11d",3.22592741690929e-130,0.252236286718171,0.419,0.126,"1","Tmprss11d"
"Wfdc5",5.76277995215022e-127,0.315923988510125,0.294,0.064,"1","Wfdc5"
"Adh7",1.43206651592375e-126,0.425310284993666,0.903,0.63,"1","Adh7"
"Emp1",2.4922303681704e-126,0.388528992064245,0.966,0.86,"1","Emp1"
"Nhp2",1.10896602206186e-123,0.276165916867168,0.987,0.907,"1","Nhp2"
"Crct11",2.40107122901936e-123,1.1186253594946,0.497,0.31,"1","Crct1"
"F31",1.14999730899728e-122,0.413756146414209,0.718,0.377,"1","F3"
"Fam129b1",2.4107757750087e-122,0.305153024983555,0.847,0.558,"1","Fam129b"
"Ak2",6.56981023487866e-122,0.271808641911679,0.887,0.65,"1","Ak2"
"1810046J19Rik",1.11562875600839e-121,0.311073904587801,0.936,0.794,"1","1810046J19Rik"
"Rnh11",5.8927652864918e-121,0.321326531935263,0.992,0.937,"1","Rnh1"
"Gng121",1.06985772317781e-120,0.296657127281807,0.858,0.648,"1","Gng12"
"Slc9a3r11",4.98329895016733e-120,0.264620891691619,0.906,0.628,"1","Slc9a3r1"
"Tubb2b",5.033049472392e-120,0.28473938798872,0.539,0.218,"1","Tubb2b"
"Ccl20",1.13033515592485e-118,0.93784921515453,0.426,0.192,"1","Ccl20"
"Marcks",9.31022662185475e-118,0.281267601615948,0.691,0.384,"1","Marcks"
"Ahnak1",4.48576210466239e-116,0.39752171864991,0.972,0.92,"1","Ahnak"
"Sc4mol1",1.00529125337574e-115,0.311866852231431,0.675,0.347,"1","Sc4mol"
"Bscl2",4.46176753309519e-115,0.254188534505646,0.668,0.4,"1","Bscl2"
"Baiap21",6.00390614420203e-115,0.300506286307489,0.948,0.762,"1","Baiap2"
"Rab3d1",1.90291868105971e-110,0.264460412442224,0.834,0.539,"1","Rab3d"
"Ccrn4l",5.26335485134186e-109,0.260116254572143,0.696,0.393,"1","Ccrn4l"
"Ppif",1.61934876846872e-107,0.342915693443117,0.511,0.291,"1","Ppif"
"Hbegf1",2.03295022539558e-106,0.598891603776523,0.849,0.676,"1","Hbegf"
"Mgst2",9.80695713015949e-105,0.277005984580941,0.64,0.354,"1","Mgst2"
"Ifrd1",1.57316863123248e-104,0.445937812292226,0.872,0.716,"1","Ifrd1"
"Sod2",2.44486780151624e-104,0.265559829783579,0.92,0.748,"1","Sod2"
"Paqr51",1.25944617261867e-103,0.298800212913437,0.786,0.504,"1","Paqr5"
"Plk3",1.82039524748348e-103,0.261924235265373,0.651,0.382,"1","Plk3"
"Tst",1.21281508911808e-102,0.342727861421646,0.95,0.808,"1","Tst"
"Srxn11",3.65645533859905e-101,0.34470574374855,0.582,0.293,"1","Srxn1"
"Nop10",2.38260060187259e-100,0.251439713484255,0.988,0.936,"1","Nop10"
"Rab241",9.20244633191479e-100,0.280401255490397,0.858,0.674,"1","Rab24"
"Gclc",1.77237926991726e-97,0.355722434514001,0.668,0.401,"1","Gclc"
"Tgm11",3.47605264889311e-96,0.261199376556581,0.804,0.51,"1","Tgm1"
"Ly6e",2.09342072817687e-94,0.296612073083864,0.801,0.531,"1","Ly6e"
"Klk8",1.7256793731077e-93,0.283087116521902,0.677,0.4,"1","Klk8"
"Sytl11",2.47265643487404e-91,0.263852183436788,0.89,0.663,"1","Sytl1"
"Rab11a1",1.03598415565102e-90,0.257920896667116,0.948,0.782,"1","Rab11a"
"Vat11",1.6655073166263e-90,0.256278218319191,0.657,0.375,"1","Vat1"
"2810405K02Rik1",3.86619370234728e-90,0.312096663987981,0.733,0.446,"1","2810405K02Rik"
"Evpl1",5.88601067097895e-89,0.314865935206659,0.665,0.402,"1","Evpl"
"Selenbp11",5.74262733831321e-88,0.297483726843896,0.799,0.544,"1","Selenbp1"
"Gstp1",4.7882823421999e-87,0.303297328602516,0.86,0.711,"1","Gstp1"
"Ovol11",6.00484889683369e-87,0.276202246870966,0.922,0.715,"1","Ovol1"
"Cyb51",1.68525914013311e-85,0.262877624915521,0.948,0.849,"1","Cyb5"
"Endou1",3.77619007131735e-85,0.36506175454097,0.548,0.272,"1","Endou"
"Cebpb1",2.29307262392277e-83,0.332084267616161,0.807,0.581,"1","Cebpb"
"Hmox11",2.7204860927931e-79,0.351706428618052,0.472,0.234,"1","Hmox1"
"Slpi1",1.93492465793307e-78,0.737484284688288,0.646,0.43,"1","Slpi"
"Atp1b3",1.38666080516305e-73,0.275353378005909,0.934,0.797,"1","Atp1b3"
"Bhlhe40",5.77256732133106e-70,0.271784847290443,0.847,0.633,"1","Bhlhe40"
"Serpinb21",4.87626370278014e-66,0.395077461305666,0.606,0.355,"1","Serpinb2"
"Glrx1",8.52456825399242e-66,0.275068958799948,0.599,0.349,"1","Glrx"
"Hn11",3.41700744774011e-62,0.282319198850204,0.902,0.76,"1","Hn1"
"Tmprss11a",3.04020305003266e-57,0.289236294576656,0.75,0.534,"1","Tmprss11a"
"Pnrc1",9.86624062378319e-46,0.273237506135815,0.958,0.902,"1","Pnrc1"
"Zfand5",3.70427864622867e-45,0.272060765161716,0.931,0.837,"1","Zfand5"
"Zfp361",4.36074457362623e-45,0.341489103408541,0.949,0.876,"1","Zfp36"
"Cnfn1",6.39436567379773e-39,0.527270642257305,0.845,0.708,"1","Cnfn"
"Mt3",7.00206508639936e-39,0.35614340809677,0.325,0.17,"1","Mt3"
"Ube2c1",0,2.3343178677483,0.962,0.138,"2","Ube2c"
"Tubb51",0,2.15633866760595,0.998,0.77,"2","Tubb5"
"Hmgb21",0,2.01021824906911,1,0.803,"2","Hmgb2"
"Stmn11",0,1.84407064026427,1,0.696,"2","Stmn1"
"Tuba1b1",0,1.75410035924523,0.992,0.799,"2","Tuba1b"
"Cdc201",0,1.70329802023705,0.95,0.155,"2","Cdc20"
"Birc5",0,1.67770661590535,0.985,0.082,"2","Birc5"
"2810417H13Rik",0,1.61544527879085,0.922,0.071,"2","2810417H13Rik"
"Cenpa",0,1.61088757351902,0.942,0.114,"2","Cenpa"
"Top2a",0,1.5461974181711,0.949,0.084,"2","Top2a"
"Smc41",0,1.5386461809281,0.994,0.401,"2","Smc4"
"Cks22",0,1.47775712916667,0.993,0.578,"2","Cks2"
"Ube2s",0,1.46349306392117,1,0.912,"2","Ube2s"
"Cdca31",0,1.43207088172898,0.973,0.135,"2","Cdca3"
"H2afv1",0,1.42049015086648,1,0.761,"2","H2afv"
"Cdca81",0,1.3745823630857,0.975,0.161,"2","Cdca8"
"Arl6ip12",0,1.34392267031584,0.969,0.64,"2","Arl6ip1"
"Hmgn21",0,1.33573716897581,0.999,0.517,"2","Hmgn2"
"Cdk1",0,1.30796609359898,0.932,0.036,"2","Cdk1"
"Cks1b",0,1.28523253820201,0.993,0.326,"2","Cks1b"
"Ccnb1",0,1.28347488495048,0.886,0.055,"2","Ccnb1"
"Cenpf",0,1.25377169177298,0.9,0.072,"2","Cenpf"
"Ccnb2",0,1.23445784882137,0.93,0.089,"2","Ccnb2"
"Hist1h2ao",0,1.1996823668775,0.601,0.053,"2","Hist1h2ao"
"Tubb4b1",0,1.17305744410188,0.989,0.831,"2","Tubb4b"
"Nusap1",0,1.13529395056229,0.898,0.023,"2","Nusap1"
"Ccna2",0,1.10487041913355,0.921,0.031,"2","Ccna2"
"Mki67",0,1.09900521697044,0.942,0.075,"2","Mki67"
"Prc1",0,1.06292926209868,0.907,0.076,"2","Prc1"
"Ccdc341",0,1.02201051829737,0.992,0.411,"2","Ccdc34"
"Smc2",0,1.02044429343368,0.921,0.093,"2","Smc2"
"Racgap1",0,1.01707572162363,0.93,0.115,"2","Racgap1"
"Ckap2l1",0,1.00625304879676,0.949,0.198,"2","Ckap2l"
"Hn12",0,0.998515243220574,0.987,0.762,"2","Hn1"
"Dek",0,0.990335510801096,0.982,0.709,"2","Dek"
"Kpna2",0,0.980003054032209,0.874,0.339,"2","Kpna2"
"Nucks1",0,0.925875482783422,0.992,0.705,"2","Nucks1"
"H2afx",0,0.925071015323053,0.862,0.316,"2","H2afx"
"Spc24",0,0.889248567760865,0.891,0.065,"2","Spc24"
"Pbk",0,0.879297289337978,0.783,0.017,"2","Pbk"
"D2Ertd750e1",0,0.874014558688705,0.902,0.154,"2","D2Ertd750e"
"2700094K13Rik",0,0.872758806649032,0.996,0.702,"2","2700094K13Rik"
"Tk1",0,0.856875493291474,0.827,0.08,"2","Tk1"
"Tmpo1",0,0.854915241848,0.964,0.533,"2","Tmpo"
"Incenp",0,0.821164703960686,0.872,0.088,"2","Incenp"
"Tubb6",0,0.818368766557894,0.906,0.362,"2","Tubb6"
"1190002F15Rik",0,0.817624705394038,0.879,0.105,"2","1190002F15Rik"
"Cdkn3",0,0.808475530985403,0.791,0.056,"2","Cdkn3"
"Cenpe",0,0.784066991995374,0.813,0.058,"2","Cenpe"
"Dut1",0,0.779629839144127,0.839,0.285,"2","Dut"
"Tacc3",0,0.777615614745976,0.86,0.048,"2","Tacc3"
"Ywhah",0,0.770753446002849,0.995,0.77,"2","Ywhah"
"Aurkb",0,0.751754419365063,0.802,0.019,"2","Aurkb"
"Tyms",0,0.745644712770244,0.75,0.125,"2","Tyms"
"Tpx21",0,0.740713291291789,0.883,0.199,"2","Tpx2"
"Anln",0,0.739979387066227,0.817,0.034,"2","Anln"
"Bub3",0,0.734667050086766,0.919,0.528,"2","Bub3"
"Spc25",0,0.729617756203782,0.788,0.016,"2","Spc25"
"Kif23",0,0.710947080352955,0.792,0.061,"2","Kif23"
"Cdkn2d",0,0.709754327904774,0.855,0.291,"2","Cdkn2d"
"Ckap2",0,0.70838282058985,0.804,0.092,"2","Ckap2"
"Lsm5",0,0.699092477521781,0.987,0.621,"2","Lsm5"
"Lsm3",0,0.695270094211064,0.945,0.468,"2","Lsm3"
"Lmnb1",0,0.687115235283012,0.887,0.204,"2","Lmnb1"
"Nrm",0,0.674121958016357,0.854,0.187,"2","Nrm"
"Pmf1",0,0.670327972337892,0.891,0.267,"2","Pmf1"
"Hmmr",0,0.668074718477086,0.739,0.021,"2","Hmmr"
"Gpsm2",0,0.663707432314241,0.894,0.343,"2","Gpsm2"
"Rad21",0,0.657485274714711,0.913,0.368,"2","Rad21"
"Anp32e",0,0.650928645434791,0.94,0.531,"2","Anp32e"
"Kif22",0,0.606346177909114,0.708,0.016,"2","Kif22"
"Rrm1",0,0.600119985339048,0.75,0.119,"2","Rrm1"
"Cenpw",0,0.59215064050672,0.819,0.096,"2","Cenpw"
"Asf1b",0,0.590684757435015,0.7,0.024,"2","Asf1b"
"Lsm2",0,0.577547912383899,0.942,0.56,"2","Lsm2"
"BC048355",0,0.557931753842884,0.839,0.185,"2","BC048355"
"Plk1",0,0.55437978594431,0.626,0.013,"2","Plk1"
"Aurka",0,0.549200706082771,0.682,0.032,"2","Aurka"
"Cdkn2c",0,0.547820822344506,0.749,0.19,"2","Cdkn2c"
"Fam64a",0,0.547110341043503,0.626,0.011,"2","Fam64a"
"Dbf4",0,0.53682499062179,0.773,0.12,"2","Dbf4"
"Nde1",0,0.535167216332314,0.794,0.204,"2","Nde1"
"Mad2l1",0,0.534972538923274,0.749,0.044,"2","Mad2l1"
"Cenpm",0,0.534419684904465,0.73,0.078,"2","Cenpm"
"Nek2",0,0.490649171571563,0.641,0.023,"2","Nek2"
"Cdc25c",0,0.488527814309591,0.629,0.019,"2","Cdc25c"
"2010317E24Rik",0,0.475048672003569,0.625,0.018,"2","2010317E24Rik"
"Kif20a",0,0.465029570951603,0.593,0.02,"2","Kif20a"
"Mxd3",0,0.448528000807108,0.522,0.01,"2","Mxd3"
"2610039C10Rik",0,0.446477998591978,0.726,0.105,"2","2610039C10Rik"
"Kif2c",0,0.438936104036079,0.553,0.015,"2","Kif2c"
"Ect2",0,0.43877190380533,0.61,0.016,"2","Ect2"
"C330027C09Rik",0,0.42741334808472,0.606,0.043,"2","C330027C09Rik"
"Esco2",0,0.42404316485018,0.507,0.012,"2","Esco2"
"Ncapd2",0,0.41769438462443,0.598,0.03,"2","Ncapd2"
"Kif11",0,0.408688253541088,0.59,0.007,"2","Kif11"
"Ska1",0,0.40722680819435,0.569,0.013,"2","Ska1"
"Cep55",0,0.401009758752096,0.618,0.012,"2","Cep55"
"Bub1b",0,0.400054781065132,0.577,0.02,"2","Bub1b"
"Melk",0,0.396644750678636,0.559,0.019,"2","Melk"
"Kif20b",0,0.393832530059353,0.56,0.012,"2","Kif20b"
"Aspm",0,0.386807939004323,0.534,0.01,"2","Aspm"
"Casc5",0,0.384193490920744,0.555,0.013,"2","Casc5"
"Ube2t",0,0.381751671332587,0.581,0.046,"2","Ube2t"
"Nuf2",0,0.374356497272093,0.561,0.01,"2","Nuf2"
"Rad51",0,0.359279357890439,0.54,0.025,"2","Rad51"
"Sgol1",0,0.346744786663556,0.505,0.011,"2","Sgol1"
"Kifc1",0,0.33872988530102,0.501,0.013,"2","Kifc1"
