p_val,avg_logFC,pct.1,pct.2,cluster,gene,,
5.24E-209,0.987250783,0.47,0.123,1,Scd2,,
1.19E-177,0.980431524,0.353,0.076,1,Exosc7,,
2.24E-170,0.976559466,0.3,0.055,1,Adk,,
4.32E-160,0.971326238,0.217,0.023,1,Rbpjl,,
1.43E-164,0.960499444,0.27,0.043,1,Atp8a1,,
6.34E-159,0.95767388,0.239,0.033,1,RP24-381P6.1,,
1.57E-163,0.933699282,0.213,0.021,1,Mme,,
1.90E-200,0.927270472,0.569,0.196,1,H2afj,,
1.71E-162,0.926769027,0.308,0.062,1,Sdc4,,
3.95E-129,0.906702861,0.245,0.048,1,Fdps,,
3.92E-141,0.902639951,0.222,0.032,1,Atp6v1c2,,
8.43E-146,0.886223078,0.593,0.276,1,Neat1,,
8.33E-156,0.882462818,0.259,0.041,1,Slc39a8,,
4.84E-154,0.881232996,0.413,0.124,1,Cat,,
5.01E-208,0.876375672,0.649,0.245,1,Ctsc,,
3.16E-161,0.869354904,0.335,0.075,1,Cystm1,,
4.72E-131,0.863160881,0.285,0.067,1,Nucb2,,
2.71E-132,0.859943569,0.187,0.022,1,Irx3,,
1.73E-146,0.858791188,0.174,0.013,1,Lrp2,,
5.43E-140,0.854621163,0.276,0.057,1,Npw,,
3.06E-148,0.853547712,0.188,0.016,1,Enpep,,
1.18E-134,0.850211949,0.261,0.052,1,Iah1,,
2.67E-157,0.847926264,0.434,0.134,1,Oat,,
4.99E-125,0.84183808,0.179,0.021,1,Irx2,,
3.12E-215,0.839202011,0.444,0.1,1,Aqp5,,
1.07E-135,0.836841304,0.334,0.088,1,Krt8,,
8.69E-141,0.835215821,0.348,0.094,1,Oaz2,,
1.32E-217,0.825145777,0.571,0.172,1,Selenbp1,,
2.79E-144,0.820498962,0.475,0.172,1,Scp2,,
4.34E-126,0.817358336,0.158,0.013,1,Kcne2,,
4.47E-225,0.814735694,0.627,0.21,1,Mgst1,,
5.63E-133,0.81052491,0.155,0.01,1,Ociad2,,
2.70E-109,0.807338435,0.266,0.069,1,mt-Tp,,
3.29E-121,0.807262841,0.215,0.037,1,Mbip,,
4.97E-125,0.800748573,0.162,0.015,1,Snx25,,
3.80E-201,0.797717757,0.677,0.268,1,Cd63,,
1.32E-123,0.794448947,0.275,0.065,1,Acsl5,,
5.93E-130,0.791879682,0.403,0.131,1,Rgcc,,
1.30E-106,0.790264966,0.264,0.07,1,Bex3,,
2.09E-117,0.789802973,0.274,0.068,1,Acly,,
5.10E-121,0.789400617,0.305,0.082,1,Tnfaip1,,
4.27E-127,0.788901583,0.328,0.092,1,Avpi1,,
0,0.788768808,0.986,0.836,1,mt-Nd2,,
1.93E-136,0.788628579,0.384,0.115,1,Dcxr,,
4.33E-104,0.776179334,0.167,0.024,1,Sec14l4,,
2.21E-135,0.771594838,0.29,0.064,1,Cd200,,
1.30E-123,0.761400505,0.333,0.096,1,Tmem50b,,
5.01E-100,0.758230811,0.244,0.063,1,Krt18,,
1.67E-107,0.75350403,0.184,0.03,1,Hacd3,,
3.74E-100,0.748364169,0.187,0.035,1,Epcam,,
7.33E-101,0.745774128,0.221,0.051,1,Cebpa,,
2.31E-107,0.745201675,0.188,0.032,1,Tspan11,,
2.11E-93,0.744205948,0.22,0.054,1,Ppic,,
2.75E-135,0.743200123,0.601,0.286,1,Dbi,,
1.01E-116,0.742416407,0.155,0.015,1,Slc26a9,,
2.29E-110,0.739799005,0.152,0.017,1,Me1,,
9.13E-96,0.733526615,0.183,0.035,1,Adgrg1,,
2.46E-94,0.731135475,0.185,0.037,1,mt-Ta,,
1.30E-86,0.722871451,0.2,0.049,1,Pon3,,
1.42E-119,0.714897583,0.271,0.064,1,Cadm1,,
2.63E-97,0.705361685,0.175,0.03,1,Crb3,,
7.91E-97,0.7052541,0.2,0.042,1,Soat1,,
3.38E-103,0.697889841,0.293,0.086,1,Mtch1,,
2.71E-100,0.697361682,0.173,0.028,1,Pdzk1ip1,,
0,0.694428291,0.992,0.893,1,mt-Nd4,,
4.36E-96,0.692209194,0.206,0.046,1,Cdh1,,
7.06E-100,0.689753654,0.17,0.027,1,Nkd1,,
3.89E-91,0.685721526,0.175,0.033,1,Prr15l,,
3.36E-73,0.685340583,0.155,0.034,1,mt-Tq,,
7.62E-97,0.681225511,0.393,0.156,1,Eif4h,,
3.97E-104,0.678624124,0.341,0.114,1,Bri3,,
1.13E-86,0.675221508,0.165,0.031,1,Mmp15,,
0,0.674626607,0.995,0.932,1,mt-Cytb,,
2.07E-89,0.671087499,0.392,0.162,1,Hmgn1,,
1.48E-115,0.669184688,0.34,0.103,1,Tsc22d1,,
8.12E-79,0.664851513,0.182,0.044,1,Cldn7,,
6.20E-87,0.659510447,0.236,0.066,1,Ccnd1,,
2.91E-126,0.658290888,0.569,0.249,1,Bsg,,
5.24E-87,0.654669609,0.153,0.025,1,Tmem42,,
1.56E-78,0.654434466,0.299,0.11,1,Clu,,
4.05E-85,0.654292336,0.164,0.031,1,Prps2,,
1.14E-123,0.650691071,0.607,0.282,1,Vamp8,,
4.30E-88,0.648728789,0.258,0.077,1,Gstt1,,
1.01E-104,0.646852954,0.494,0.219,1,Gpx4,,
2.45E-83,0.641746586,0.185,0.042,1,Brd7,,
2.84E-105,0.641154171,0.432,0.173,1,App,,
1.19E-96,0.634721738,0.324,0.109,1,Tmem30a,,
1.08E-68,0.631148434,0.185,0.051,1,Tceal8,,
9.66E-75,0.630355327,0.205,0.058,1,H1f0,,
4.45E-102,0.625439676,0.33,0.105,1,Ldhb,,
4.66E-70,0.620936912,0.183,0.049,1,Sord,,
1.73E-74,0.617054358,0.188,0.049,1,Gsta4,,
6.61E-69,0.609739347,0.241,0.083,1,Atp6v1a,,
0,0.605451767,0.994,0.916,1,mt-Nd1,,
1.40E-74,0.604878994,0.168,0.039,1,Cited2,,
5.93E-86,0.599042329,0.409,0.175,1,Ift20,,
1.77E-72,0.59340445,0.209,0.062,1,Rnf181,,
4.77E-157,0.59012592,0.846,0.531,1,mt-Nd5,,
6.69E-62,0.588739521,0.219,0.076,1,Hsd17b10,,
3.07E-77,0.5874068,0.431,0.201,1,Nupr1,,
1.67E-48,0.584212596,0.237,0.099,1,Rn7sk,,
1.31E-76,0.584050308,0.261,0.087,1,Cers2,,
4.29E-71,0.583746562,0.157,0.035,1,Alad,,
9.70E-78,0.582441788,0.197,0.051,1,Rab9,,
1.85E-65,0.580072842,0.161,0.041,1,Pmvk,,
1.89E-62,0.579250838,0.171,0.048,1,Ddt,,
4.44E-64,0.575998856,0.17,0.046,1,Chka,,
4.35E-77,0.575091806,0.291,0.104,1,Higd1a,,
1.80E-63,0.572940596,0.201,0.064,1,Mtfr1l,,
4.97E-82,0.572856671,0.325,0.121,1,Anxa3,,
6.79E-83,0.571012416,0.39,0.162,1,Map1lc3a,,
1.45E-70,0.568811955,0.28,0.105,1,Suclg1,,
5.91E-74,0.566604104,0.274,0.097,1,Ramp1,,
1.68E-154,0.566264112,0.632,0.267,1,Selenop,,
1.93E-78,0.564711659,0.182,0.043,1,Mthfd1,,
2.24E-64,0.564606138,0.3,0.124,1,Fkbp2,,
3.76E-65,0.561834784,0.223,0.075,1,Slc25a39,,
2.55E-62,0.559278211,0.204,0.066,1,Siva1,,
1.16E-69,0.558517934,0.274,0.102,1,Fkbp4,,
2.34E-72,0.554404325,0.24,0.078,1,Anxa4,,
1.36E-57,0.554101871,0.199,0.067,1,Stard3nl,,
1.58E-62,0.551213555,0.171,0.047,1,Pgs1,,
7.85E-89,0.547515918,0.574,0.305,1,Tmbim6,,
1.20E-60,0.546774852,0.212,0.072,1,Idh2,,
1.47E-63,0.545018222,0.153,0.038,1,Hmgcs1,,
8.80E-65,0.5448374,0.315,0.134,1,Selenos,,
1.42E-70,0.544159177,0.382,0.172,1,Phlda1,,
4.42E-65,0.54046069,0.152,0.036,1,Uhrf1bp1l,,
3.41E-102,0.54025564,0.338,0.109,1,Bcam,,
1.80E-68,0.534809339,0.334,0.141,1,Cyb5r3,,
1.10E-59,0.533616329,0.184,0.056,1,Sort1,,
4.46E-64,0.532687221,0.25,0.091,1,Apoa1bp,,
7.19E-85,0.532651456,0.281,0.091,1,Clic3,,
3.62E-55,0.532241603,0.197,0.068,1,Tmem205,,
1.06E-104,0.52995554,0.306,0.089,1,Adgrf5,,
6.47E-56,0.526057566,0.172,0.053,1,Smim22,,
4.15E-58,0.525982753,0.182,0.057,1,Cyb5b,,
1.55E-65,0.524863275,0.207,0.065,1,Wls,,
6.33E-73,0.524265301,0.362,0.154,1,Atp1a1,,
1.57E-61,0.522612584,0.214,0.072,1,Dstn,,
7.52E-57,0.521771178,0.169,0.05,1,Msmo1,,
3.75E-73,0.521701555,0.227,0.07,1,Gas6,,
9.85E-61,0.519724486,0.249,0.094,1,RP23-269H21.1,,
7.94E-56,0.519510485,0.175,0.055,1,Sptlc2,,
5.63E-57,0.515328485,0.345,0.165,1,Tmem256,,
7.68E-52,0.512448353,0.189,0.066,1,Mcfd2,,
4.68E-66,0.511498085,0.186,0.052,1,Aldh1a7,,
5.89E-54,0.509707282,0.239,0.095,1,Mrpl14,,
2.53E-60,0.505607004,0.335,0.153,1,Ndufc2,,
1.04E-55,0.496323022,0.179,0.056,1,Mylk,,
1.01E-55,0.488184782,0.152,0.041,1,Dpp4,,
5.35E-59,0.47534132,0.438,0.23,1,Ndufa7,,
1.69E-46,0.467080712,0.205,0.08,1,Azin1,,
4.45E-42,0.465621171,0.18,0.069,1,Taok3,,
1.49E-57,0.463429501,0.425,0.221,1,P4hb,,
2.41E-58,0.462884163,0.193,0.061,1,Serpinb6b,,
5.18E-56,0.459966329,0.307,0.136,1,Ssr2,,
2.50E-60,0.459187151,0.424,0.216,1,Tmem59,,
2.38E-46,0.456700566,0.179,0.065,1,Pls3,,
3.78E-68,0.456185314,0.53,0.286,1,mt-Nd3,,
2.54E-57,0.455746395,0.398,0.198,1,Iqgap1,,
3.85E-42,0.455246689,0.19,0.076,1,Nedd4,,
7.00E-54,0.450854124,0.404,0.209,1,Atp6v1g1,,
3.10E-44,0.450502034,0.179,0.066,1,Drap1,,
4.60E-45,0.440724827,0.158,0.053,1,Dynlt3,,
4.70E-43,0.438851558,0.152,0.051,1,Tmem238,,
7.58E-50,0.431272806,0.366,0.187,1,Uqcr11,,
3.23E-49,0.430815362,0.298,0.138,1,Etfb,,
2.17E-36,0.429728456,0.213,0.098,1,Cnpy2,,
1.44E-60,0.429436609,0.208,0.069,1,Nrp1,,
4.47E-44,0.422315175,0.336,0.173,1,Ndufb11,,
0,0.42028669,0.802,0.309,1,Ager,,
4.69E-55,0.41669045,0.536,0.31,1,Ndufa4,,
4.80E-57,0.410554829,0.341,0.157,1,Tubb4b,,
8.68E-39,0.408969396,0.197,0.083,1,Arpc1a,,
6.41E-139,0.405695002,0.975,0.879,1,mt-Rnr2,,
4.68E-40,0.405624459,0.194,0.079,1,Arf6,,
3.13E-65,0.399094306,0.608,0.35,1,Txn1,,
4.67E-35,0.395783763,0.165,0.067,1,Gtf2i,,
6.69E-109,0.395016705,0.942,0.79,1,mt-Co1,,
1.44E-40,0.392022428,0.203,0.084,1,Hp1bp3,,
4.19E-44,0.391360889,0.365,0.194,1,Ppib,,
2.27E-55,0.388364886,0.543,0.312,1,Tspo,,
2.85E-48,0.38715834,0.258,0.112,1,Csrp1,,
4.32E-37,0.38621443,0.187,0.078,1,Nenf,,
1.11E-39,0.381706154,0.304,0.156,1,Anapc13,,
1.34E-30,0.376679865,0.16,0.069,1,Acaa2,,
1.81E-38,0.375282476,0.24,0.111,1,Aes,,
3.72E-54,0.375128532,0.685,0.44,1,Cox6c,,
4.34E-49,0.370277926,0.397,0.207,1,Sod1,,
3.43E-32,0.36999011,0.2,0.093,1,Bag1,,
4.10E-68,0.368147958,0.265,0.093,1,Epas1,,
3.02E-57,0.367173914,0.477,0.25,1,Aldh2,,
2.16E-30,0.366733618,0.305,0.173,1,Romo1,,
2.24E-37,0.366233753,0.205,0.089,1,Spg21,,
5.58E-39,0.366139032,0.343,0.186,1,Pdia6,,
2.12E-50,0.363805544,0.4,0.207,1,Arl6ip1,,
1.64E-38,0.361554637,0.239,0.111,1,F11r,,
6.52E-45,0.357290407,0.447,0.252,1,Ptms,,
1.83E-58,0.354218923,0.267,0.103,1,Stmn1,,
3.05E-34,0.349013779,0.241,0.118,1,Atxn10,,
8.15E-44,0.344431654,0.322,0.16,1,Herpud1,,
1.18E-38,0.344424764,0.273,0.134,1,Aplp2,,
6.64E-33,0.342991991,0.225,0.109,1,Emc6,,
3.96E-61,0.339600494,0.452,0.224,1,Id2,,
7.10E-25,0.334345243,0.177,0.088,1,Oxct1,,
4.82E-36,0.333231014,0.298,0.156,1,Mpc2,,
5.12E-38,0.323943934,0.281,0.14,1,Rnaset2a,,
7.54E-27,0.322244422,0.201,0.101,1,Sdhc,,
2.59E-24,0.322017586,0.201,0.105,1,Pgd,,
5.26E-35,0.321377807,0.236,0.112,1,Polr2e,,
1.31E-31,0.318679853,0.185,0.083,1,Mpc1,,
4.59E-77,0.317511072,0.239,0.072,1,Gprc5a,,
1.43E-38,0.316309073,0.29,0.143,1,Emb,,
3.23E-42,0.314913309,0.624,0.403,1,Prdx1,,
2.92E-111,0.312880701,0.617,0.283,1,Hp,,
1.36E-22,0.311246514,0.171,0.088,1,Arl1,,
1.95E-32,0.307748031,0.323,0.18,1,Degs1,,
1.30E-23,0.306451141,0.243,0.138,1,Ndufb2,,
5.76E-104,0.306400903,0.397,0.141,1,Emp2,,
7.55E-25,0.298915284,0.21,0.111,1,Gstp1,,
3.18E-27,0.298622802,0.307,0.179,1,Mrpl52,,
1.11E-30,0.298258996,0.299,0.164,1,Creg1,,
2.06E-27,0.296836117,0.413,0.263,1,Ndufa13,,
1.78E-28,0.296424876,0.2,0.098,1,Sypl,,
2.98E-45,0.29540386,0.288,0.133,1,Icam1,,
2.01E-21,0.293995711,0.175,0.091,1,Mien1,,
1.30E-29,0.292444011,0.168,0.075,1,Atp6v1b2,,
4.54E-31,0.290436496,0.244,0.123,1,mt-Tm,,
2.02E-31,0.28745958,0.269,0.141,1,Mxd4,,
6.69E-22,0.286693589,0.164,0.083,1,Scarb2,,
2.99E-22,0.286313036,0.151,0.074,1,Acadl,,
2.18E-25,0.283468334,0.22,0.116,1,Vapa,,
5.54E-26,0.283242374,0.228,0.122,1,Actn4,,
1.24E-20,0.282739499,0.215,0.122,1,Timm8b,,
2.41E-31,0.280918086,0.502,0.324,1,Rpl36al,,
1.00E-21,0.279270003,0.16,0.08,1,Arrdc1,,
1.02E-33,0.275981822,0.602,0.402,1,Gnas,,
2.45E-23,0.274893537,0.172,0.085,1,Pon2,,
5.23E-29,0.273487231,0.219,0.109,1,Por,,
2.22E-20,0.272515898,0.218,0.126,1,Ndufa12,,
1.55E-49,0.267024018,0.455,0.239,1,Crip2,,
1.34E-22,0.262606836,0.167,0.084,1,Pdlim2,,
1.33E-37,0.262228663,0.466,0.275,1,Cyb5a,,
1.72E-31,0.261792595,0.311,0.17,1,Rsrp1,,
1.89E-33,0.260980529,0.448,0.268,1,Lamp1,,
7.26E-25,0.260838521,0.355,0.22,1,Selenof,,
4.20E-29,0.26005525,0.309,0.173,1,Tecr,,
1.16E-20,0.259240338,0.201,0.112,1,Ndufb4,,
5.91E-27,0.255816111,0.408,0.256,1,Atp5f1,,
2.03E-28,0.250259697,0.272,0.147,1,Paip2,,
0,2.711790493,0.62,0.04,2,Ly6d,,B Cell
0,2.611562426,0.712,0.066,2,Cd79a,,
0,2.355252528,0.496,0.032,2,Ms4a1,,
0,2.275352173,0.619,0.087,2,Cd79b,,
0,2.21215589,0.378,0.017,2,Ighd,,
0,2.202920128,0.394,0.022,2,Iglc3,,
0,2.027915164,0.913,0.237,2,Igkc,,
6.87E-256,2.005156659,0.395,0.041,2,Iglc2,,
1.21E-287,1.965190836,0.397,0.034,2,Fcmr,,
4.86E-100,1.916463004,0.332,0.085,2,Iglc1,,
0,1.906327274,0.888,0.239,2,Ighm,,
6.09E-243,1.786022938,0.292,0.018,2,Cd19,,
5.80E-219,1.75231247,0.309,0.026,2,Ebf1,,
3.28E-152,1.622999545,0.285,0.037,2,Siglecg,,
3.13E-155,1.601115309,0.384,0.075,2,Cd37,,
1.15E-157,1.59415285,0.387,0.073,2,Ccr7,,
4.92E-156,1.594025845,0.299,0.041,2,H2-Ob,,
1.33E-133,1.508067464,0.327,0.061,2,H2-DMb2,,
4.73E-172,1.460227394,0.185,0.008,2,Spib,,
5.47E-100,1.402637522,0.223,0.036,2,Mef2c,,
4.03E-117,1.346821808,0.165,0.013,2,Fcer2a,,
1.53E-84,1.323304658,0.236,0.048,2,Gm8369,,
1.32E-113,1.319675553,0.172,0.016,2,Fcrla,,
9.57E-100,1.316138355,0.295,0.063,2,Ltb,,
1.60E-102,1.268066242,0.168,0.017,2,Ralgps2,,
2.38E-78,1.235520888,0.374,0.13,2,Tsc22d3,,
3.51E-124,1.214920316,0.168,0.012,2,Mzb1,,
4.48E-68,1.211500689,0.179,0.034,2,H2-Oa,,
3.78E-70,1.170531868,0.191,0.037,2,Cd69,,
5.13E-61,1.165184503,0.348,0.133,2,Stk17b,,
2.15E-84,1.155923317,0.331,0.091,2,Ptprcap,,
2.92E-68,1.102677544,0.504,0.269,2,Serp1,,
1.40E-47,1.077145881,0.166,0.04,2,Hvcn1,,
8.32E-46,1.011810989,0.162,0.04,2,Syk,,
1.40E-49,0.997892825,0.262,0.088,2,Gimap6,,
8.20E-45,0.990610827,0.165,0.041,2,Ptp4a3,,
4.08E-30,0.918620737,0.182,0.067,2,Apobec3,,
4.03E-31,0.909330616,0.159,0.051,2,Cnp,,
2.66E-30,0.905119012,0.193,0.073,2,Sh3bp5,,
1.23E-27,0.90094816,0.175,0.064,2,Dusp2,,
1.70E-45,0.876650468,0.516,0.325,2,Shisa5,,
3.23E-33,0.876373354,0.166,0.052,2,Ets1,,
2.33E-36,0.875582996,0.211,0.073,2,Sell,,
1.80E-36,0.870456858,0.305,0.139,2,Il2rg,,
8.72E-22,0.867360708,0.238,0.124,2,Foxp1,,
3.20E-23,0.834442571,0.275,0.149,2,Arhgap45,,
2.70E-206,0.825460628,0.996,0.943,2,Rps27,,
5.06E-21,0.820762344,0.219,0.11,2,4930523C07Rik,,
1.94E-27,0.820759229,0.162,0.057,2,Mndal,,
1.75E-22,0.811889327,0.179,0.076,2,Sp100,,
1.44E-20,0.795065452,0.166,0.072,2,Pold4,,
7.52E-33,0.794938197,0.491,0.358,2,H3f3a,,
1.58E-14,0.780025005,0.165,0.084,2,Dnajc7,,
4.74E-53,0.771359156,0.57,0.331,2,Coro1a,,
2.80E-97,0.767253473,0.87,0.67,2,Ly6e,,
1.26E-13,0.765288532,0.165,0.088,2,Snx2,,
1.30E-15,0.755982773,0.16,0.078,2,Ptpn6,,
2.66E-22,0.740666216,0.199,0.09,2,Unc93b1,,
5.01E-19,0.714267789,0.152,0.063,2,H2-Q6,,
3.78E-20,0.713219271,0.181,0.081,2,Fam107b,,
7.48E-15,0.711753237,0.241,0.142,2,Klf2,,
2.84E-23,0.705644458,0.334,0.198,2,Arhgdib,,
6.91E-18,0.703012567,0.287,0.176,2,Limd2,,
1.09E-14,0.687668877,0.225,0.129,2,Cd24a,,
3.28E-18,0.685645043,0.168,0.076,2,Cd2,,
2.63E-12,0.675994881,0.175,0.098,2,Arhgef1,,
2.26E-140,0.6721176,0.989,0.911,2,Rpl18a,,
2.10E-152,0.670027673,0.86,0.453,2,H2-Eb1,,
9.43E-09,0.669993458,0.183,0.121,2,Tmem123,,
3.85E-125,0.666828719,0.88,0.554,2,H2-Aa,,
2.24E-09,0.665668521,0.259,0.194,2,Rps27rt,,
2.23E-27,0.660817476,0.385,0.226,2,Rac2,,
1.01E-139,0.656353361,0.92,0.632,2,H2-Ab1,,
5.10E-10,0.63699594,0.213,0.142,2,Kmt2e,,
1.53E-124,0.635426301,0.986,0.924,2,Rpl13,,
7.47E-10,0.621955953,0.181,0.112,2,2410006H16Rik,,
3.29E-08,0.614192946,0.183,0.124,2,Snx5,,
6.97E-24,0.610647298,0.511,0.411,2,Rps6,,
1.75E-63,0.610138372,0.812,0.699,2,Rps7,,
6.13E-17,0.608495796,0.378,0.278,2,Serinc3,,
8.10E-46,0.596805687,0.658,0.426,2,Cd52,,
4.80E-30,0.594160939,0.642,0.576,2,Ddx5,,
1.70E-50,0.579709085,0.788,0.695,2,Fau,,
6.02E-57,0.57733565,0.797,0.703,2,Rpl4,,
9.34E-47,0.574711064,0.761,0.665,2,Rpl35,,
2.34E-75,0.572641889,0.871,0.772,2,Rps15a,,
7.81E-09,0.56996979,0.334,0.279,2,Rbm39,,
2.58E-17,0.568647757,0.338,0.221,2,H2-DMa,,
1.86E-12,0.567252255,0.301,0.21,2,Cytip,,
7.67E-50,0.563655523,0.758,0.655,2,Rps20,,
5.58E-18,0.559083192,0.503,0.43,2,Gm15427,,
2.46E-09,0.554967923,0.213,0.141,2,Btg1,,
1.67E-07,0.553313481,0.156,0.099,2,Slfn2,,
7.91E-18,0.552512372,0.514,0.449,2,Rpl15,,
1.35E-92,0.551800971,0.946,0.876,2,Rpl32,,
6.89E-17,0.551632159,0.506,0.446,2,Rpl10a,,
1.89E-08,0.545413764,0.188,0.122,2,Samhd1,,
9.52E-10,0.544553901,0.232,0.158,2,Ptpn18,,
1.20E-36,0.538441268,0.709,0.627,2,Rps13,,
2.20E-40,0.531381763,0.732,0.651,2,Rps18,,
1.64E-30,0.525484888,0.304,0.14,2,Plac8,,
5.27E-59,0.515284205,0.868,0.775,2,Rps3a1,,
3.11E-49,0.513070366,0.818,0.748,2,Rps24,,
2.40E-21,0.507619743,0.51,0.413,2,Rpl12,,
1.59E-06,0.506774129,0.342,0.31,2,Gm9843,,
4.26E-40,0.505043313,0.744,0.682,2,Rps15,,
1.33E-65,0.503872843,0.931,0.851,2,Rps19,,
3.72E-40,0.501290462,0.749,0.662,2,Rps16,,
3.85E-41,0.499281787,0.766,0.681,2,Rpsa,,
3.33E-26,0.498917978,0.638,0.578,2,Rpl6,,
6.20E-25,0.497804543,0.64,0.592,2,Rpl17,,
1.81E-20,0.497496212,0.288,0.156,2,Cd83,,
2.13E-12,0.496237484,0.292,0.195,2,Ifi27l2a,,
7.70E-14,0.493354266,0.49,0.436,2,Sub1,,
6.22E-48,0.484781594,0.835,0.758,2,Rps11,,
1.73E-62,0.465169885,0.918,0.866,2,Rps14,,
1.78E-28,0.465010758,0.685,0.625,2,Rps5,,
2.03E-36,0.463718615,0.768,0.723,2,Rpl8,,
6.81E-30,0.461756313,0.726,0.666,2,Rpl7,,
3.61E-31,0.45638047,0.719,0.661,2,Rpl30,,
2.71E-40,0.455583868,0.817,0.762,2,Rps26,,
8.45E-24,0.455186249,0.646,0.61,2,Rpl27a,,
6.46E-37,0.449084199,0.808,0.775,2,Rpl26,,
