overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,Arhgap26,,,Btg1,,,Cd74,,,Adss,,Rps6-ps4,Atp1a1,,,Dapl1,,,5830416P10Rik,Agpat4,App,Cd9,,Cfp,Rnaset2b
,,Arid1b,,,Btk,,,Cd79a,,,Ahnak,,Saraf,Atp6v1d,,,Dgka,,,6330512M04Rik,Akr1a1,Arhgap17,Cd97,,Ckb,Sat1
,,Atf4,,,Btla,,,Cd79b,,,Anapc11,,Tpt1-ps3,B2m,,,Dnajc15,,,A430084P05Rik,Alox5ap,Arhgap19,Cebpb,,Clec12a,Sdcbp
,,Atg16l2,,,Camk2d,,,Cd83,,,Ankrd10,,Trac,Bcl11b,,,Emb,,,AI506816,Amica1,Arl8b,Chmp4b,,Clec4a1,Sdf2l1
,,Atp2a3,,,Ccdc50,,,Chchd10,,,Anp32a,,Trbc1,Bcl2,,,Fam189b,,,Abcg1,Anapc13,Asrgl1,Cpne3,,Clec4a2,Smpdl3a
,,Atp6ap1,,,Cd38,,,Cr2,,,Anxa5,,Trbc2,Bzw2,,,Fxyd5,,,Adamts14,Anxa5,Atp13a2,Crip1,,Clec4a3,Tnfrsf1b
,,Atp6v0b,,,Cd81,,,Csk,,,Ap2a2,,,Ccdc53,,,Fyb,,,Adipor2,Ap3s1,Atp6v1e1,Ctla2a,,Coro1b,Txn1
,,Atp6v0d1,,,Cmtm7,,,Ctsh,,,Apbb1ip,,,Ccnd3,,,Gimap3,,,Adora2a,Arpc1a,Axl,Dusp1,,Creg1,Tyrobp
,,B3gnt2,,,Cnn3,,,Dok3,,,Aph1a,,,Cd2,,,Gimap4,,,Agpat3,Arpc1b,Blvra,Efhd2,,Csf1r,
,,B3gnt5,,,Cnp,,,Fcer2a,,,Apol7e,,,Cd28,,,Hcst,,,Agtrap,Arpc3,Blvrb,Ehbp1l1,,Cst3,
,,BC004004,,,Ctsc,,,Fcrl1,,,Araf,,,Cd5,,,Id2,,,Aim1,Arpc4,C130050O18Rik,Epsti1,,Cstb,
,,BC013712,,,Ctss,,,Fcrla,,,Arhgap1,,,Cd6,,,Ifi47,,,Ak3,Atg3,C1qa,Fam105a,,Ctsa,
,,Bach2,,,Ctsz,,,Foxp1,,,Arhgap15,,,Cd7,,,Itgb7,,,Ankib1,Atp1a1,C1qb,Flna,,Ctsb,
,,Baz2b,,,Cxcr5,,,Gga2,,,Arhgef1,,,Cd96,,,Lat,,,Ankrd11,Atp5l,C1qc,Fxyd5,,Ctsh,
,,Bcar3,,,Cybasc3,,,Gpr18,,,Arid4a,,,Cdipt,,,Lck,,,Ankrd44,Atp6v0b,C6,Fyb,,Ctss,
,,Bcl3,,,Cybb,,,H2-Aa,,,Arl2bp,,,Cdk2ap2,,,Leprotl1,,,Anxa6,Atp6v0e,Cadm1,Ggh,,Ear2,
,,Bcl6,,,Cyp4f18,,,H2-Ab1,,,Arrb2,,,Chd3,,,Ms4a4b,,,Aplp2,Atp6v1b2,Canx,Glipr1,,Etfb,
,,Birc3,,,Ddx54,,,H2-DMa,,,Ass1,,,Cnn2,,,Ms4a6b,,,Apol7e,Atp6v1g1,Ccl24,Gpx4,,Fcgrt,
,,Bmp2k,,,Dnajc7,,,H2-Eb1,,,Atf7ip,,,Cox7a2l,,,Nkg7,,,Arap2,Atpif1,Ccr3,H2afz,,Fth1,
,,Brd2,,,Ehd1,,,H2-Oa,,,Atp11b,,,Ctsd,,,Prkcq,,,Arf4,Avpi1,Cd14,Hmgb2,,Ftl1,
,,Brd8,,,Eml4,,,H2-Ob,,,Atp1b1,,,Cyb5,,,Rgs10,,,Arhgap26,Bak1,Cd163,Ifngr1,,Gltp,
,,Brwd1,,,Erp29,,,H3f3a,,,Atp5g3,,,Ddit4,,,Rps6,,,Arhgap9,Batf3,Cd300c2,Il10ra,,Gngt2,
,,C130026I21Rik,,,Etnk1,,,Hmgn1,,,Atp5h,,,Dnajc3,,,S100a10,,,Arhgef18,Bcl2a1b,Cd300e,Irf7,,Grn,
,,C330019G07Rik,,,Ezr,,,Hvcn1,,,Atp5j,,,Eef1b2,,,Selplg,,,Arih2,Bcl2a1d,Cd5l,Itga4,,Gsto1,
,,Cat,,,Faim3,,,Id3,,,Atp5j2,,,Emg1,,,Skap1,,,Arl4c,Beta-s,Cd81,Itgal,,Hexa,
,,Cbfa2t3,,,Fam108b,,,Irf8,,,Atp6ap2,,,Emp3,,,Slfn1,,,Arl4d,Bloc1s2,Cd86,Itgax,,Hfe,
,,Cbx1,,,Fam111a,,,Lat2,,,Atxn10,,,Epsti1,,,Smc4,,,Arl6ip5,Bri3,Cela1,Itgb1,,Hmox1,
,,Cbx7,,,Fchsd2,,,Ly6a,,,Azi2,,,Evl,,,Tcf7,,,Arrb2,Bri3bp,Chmp6,Lcp2,,Hpgd,
,,Cd200,,,Filip1l,,,Ly6d,,,B4galt1,,,Fam101b,,,Thy1,,,Arsb,Brp44,Clcn4,Metrnl,,Ifitm2,
,,Cd2ap,,,Fli1,,,Ly6e,,,Bag1,,,Fam105a,,,,,,Atg4d,Bst2,Clec4b1,Mrpl33,,Ifitm3,
,,Cd36,,,Fth1,,,Ly86,,,Bcas2,,,Fam78a,,,,,,Atp1b1,Calm1,Clec4n,Myl6,,Ifitm6,
,,Cd40,,,Fuca1,,,Mef2c,,,Bclaf1,,,Fkbp1a,,,,,,Atp1b3,Capns1,Cmbl,Myo1f,,Igsf6,
,,Cdv3,,,Gm8369,,,Ms4a1,,,Bola2,,,Fyn,,,,,,Atp2b1,Capza2,Cmpk1,Neat1,,Lair1,
,,Ceacam1,,,Gpr171,,,Ms4a4c,,,C330021F23Rik,,,Glipr2,,,,,,Atp5h,Cbfa2t3,Cndp2,Obfc2a,,Lamp1,
,,Cerk,,,Grap,,,Napsa,,,Cab39,,,Gltp,,,,,,B3gat3,Ccdc12,Coa5,Ostf1,,Laptm4a,
,,Chst3,,,Grb2,,,Pkig,,,Camk4,,,Gnb2l1,,,,,,B4galnt1,Ccdc88a,Col14a1,Pglyrp1,,Leprot,
,,Cib1,,,H2-DMb1,,,Plac8,,,Capns1,,,Gramd1a,,,,,,B4galt1,Ccl6,Colgalt1,Plek,,Lgals3,
,,Ciita,,,Hexb,,,Pold4,,,Casp8,,,Gramd3,,,,,,B4galt5,Ccl9,Crip2,Prdx5,,Lgmn,
,,Clic4,,,Hhex,,,Pou2f2,,,Cast,,,Gtf2i,,,,,,Baiap3,Ccnd1,Ctsc,Prr13,,Lipa,
,,Clta,,,Ier5,,,Ptp4a3,,,Cbx3,,,H2-K1,,,,,,Bbc3,Cdk2ap2,Ctsl,Rap1b,,Lrrc25,
,,Cltc,,,Ifi30,,,Ptpn6,,,Cd164,,,H2-Q4,,,,,,Bcap31,Cks2,Cyb5a,Rgs2,,Lst1,
,,Cnpy3,,,Iqgap1,,,Ralgps2,,,Cd4,,,Hmha1,,,,,,Bcl2,Clec7a,Cystm1,Rgs3,,Lyn,
,,Cnr2,,,Irf2,,,Serinc3,,,Cd48,,,Hp1bp3,,,,,,Bcl2l1,Clic4,Ddit4,Rnf130,,M6pr,
,,Cpsf2,,,Irf5,,,Serp1,,,Cd82,,,Hpcal1,,,,,,Bcl2l11,Cnih4,Dhrs1,S100a11,,Man2b1,
,,Csnk1g3,,,Itsn2,,,Serpinb1a,,,Cd84,,,Hsd11b1,,,,,,Bcl9l,Cox17,Dmpk,S100a6,,Mapk14,
,,Cst3,,,Jund,,,Sh3bp5,,,Cdkn1b,,,Ict1,,,,,,Bhlhe40,Cox5a,Dnajc30,Sec61b,,Marcks,
,,Ctso,,,Lgmn,,,Siglecg,,,Cdkn2d,,,Ifi27l1,,,,,,Bsg,Cox6c,Dnase2a,Selplg,,Mpeg1,
,,Cux1,,,Lmbrd1,,,Snn,,,Cflar,,,Igfbp4,,,,,,Btg2,Cox7c,Dse,Sepp1,,Mvp,
,,Cxcr4,,,Lmo2,,,Snx2,,,Chordc1,,,Il7r,,,,,,Bysl,Csf2ra,Dst,Serf2,,Nav1,
,,Cxxc5,,,Lrmp,,,Spib,,,Churc1,,,Itgb2,,,,,,C230081A13Rik,Csf2rb,Dynlrb1,Serpina3g,,Nfam1,
,,Cyba,,,Lyl1,,,Tmem123,,,Cited2,,,Itk,,,,,,Cab39,Ctage5,Emc2,Slamf7,,Ninj1,
,,D930015E06Rik,,,Lyn,,,Tnfrsf13c,,,Clint1,,,Itm2c,,,,,,Calcoco1,Ctsz,Emc8,Spn,,Plbd1,
,,Dapp1,,,Man1a,,,Unc93b1,,,Clip1,,,Jak1,,,,,,Calm2,Cx3cr1,F630028O10Rik,Tagln2,,Pld4,
,,Dazap2,,,Map2k1,,,Vpreb3,,,Cmas,,,Kbtbd11,,,,,,Camk2g,Cyb5,Fam213b,Tln1,,Pmaip1,
,,Ddx41,,,Map3k1,,,,,,Cnot1,,,Kcnn4,,,,,,Camk2n1,Cybb,Fcgr1,Tmsb4x,,Prdx1,
,,Dennd4a,,,Map4k1,,,,,,Commd8,,,Klf13,,,,,,Cap1,Cycs,Fcgr4,Traf1,,Psap,
,,Dennd5b,,,March1,,,,,,Cox7c,,,Klf3,,,,,,Capn2,Cyp27a1,Fcna,Unc119,,Rtn4,
,,Dgkd,,,Mgat1,,,,,,Crlf3,,,Klk8,,,,,,Car2,Cyp4f16,Fez2,Vim,,Sdc3,
,,Dmxl1,,,Mif4gd,,,,,,Csnk1a1,,,Klrd1,,,,,,Cbl,Dbi,Fpr1,Zmiz1,,Sirpa,
,,E030024N20Rik,,,Mndal,,,,,,Cst7,,,Lcp2,,,,,,Ccl3,Degs1,Frmd4b,Zyx,,Slpi,
,,E330020D12Rik,,,Nap1l1,,,,,,Ctage5,,,Ldha,,,,,,Ccl4,Dleu2,Ftl1-ps1,,,Sod1,
,,Egln2,,,Ncf1,,,,,,Ctnnbl1,,,Lef1,,,,,,Ccl5,Dnase1l3,Gbp8,,,Taldo1,
,,Ero1lb,,,Ncf2,,,,,,Cyld,,,Lfng,,,,,,Ccnd2,Dpp4,Gclm,,,Tgfbi,
,,Evi2b,,,Ncf4,,,,,,Cyth4,,,Lgals1,,,,,,Ccpg1,Dstn,Gfra2,,,Tmem14c,
,,Fam105b,,,Nrm,,,,,,Dap,,,Limd2,,,,,,Ccr2,Dynll2,Ggta1,,,Tmem51,
,,Fam108a,,,Parp1,,,,,,Dars,,,Lime1,,,,,,Ccr5,Eid1,Gm21399,,,Treml4,
,,Fam149b,,,Pdia4,,,,,,Dctn1,,,Mbnl1,,,,,,Cd160,Eif4ebp1,Gm5150,,,Trf,
,,Fam178a,,,Pgls,,,,,,Dctn6,,,Myl6,,,,,,Cd2,Emb,Gm6977,,,Tspan13,
,,Fam43a,,,Plekha2,,,,,,Def6,,,Ndufv3,,,,,,Cd247,Emr1,Gns,,,Ucp2,
,,Fam69a,,,Pmf1,,,,,,Degs2,,,Npc2,,,,,,Cd47,Emr4,Hba-a2,,,,
,,Far1,,,Pou2af1,,,,,,Dennd1c,,,Npm1,,,,,,Cd48,Evi2a,Hcar2,,,,
,,Fcgr2b,,,Ppdpf,,,,,,Dennd2d,,,Npm3,,,,,,Cdc37,Evi2b,Hebp1,,,,
,,Fgd2,,,Ppp3ca,,,,,,Dgkz,,,Pdcd4,,,,,,Cdc42ep3,Fam174a,Higd2a,,,,
,,Fh1,,,Pqbp1,,,,,,Dnaja1,,,Pdk1,,,,,,Cetn2,Fam46a,Hsd17b12,,,,
,,Foxn3,,,Prkcb,,,,,,Dnttip2,,,Pdlim1,,,,,,Chmp1a,Fam49a,Hsp90b1,,,,
,,Ftl1,,,Prr5,,,,,,Dpysl2,,,Peli1,,,,,,Chn2,Fam49b,Iffo1,,,,
,,Ftsjd2,,,Ptk2b,,,,,,Dtx3l,,,Pik3cd,,,,,,Chst12,Fam96a,Ifit3,,,,
,,Gabarap,,,Ptma,,,,,,Edem1,,,Pik3ip1,,,,,,Chsy1,Fes,Igf1,,,,
,,Gdi2,,,Pxk,,,,,,Eef1a1,,,Pitpnc1,,,,,,Cir1,Ffar2,Igsf8,,,,
,,Gemin7,,,Pyhin1,,,,,,Efr3a,,,Pla2g16,,,,,,Cited2,Fgr,Il15,,,,
,,Glcci1,,,Rasgrp3,,,,,,Ehd3,,,Pnrc1,,,,,,Cltb,Flt3,Il18,,,,
,,Gm12657,,,Rel,,,,,,Eif2c2,,,Ppp2r5a,,,,,,Cma1,Fmnl1,Il18bp,,,,
,,Gm15987,,,Rnase6,,,,,,Eif3e,,,Prdx6,,,,,,Coro1c,Fos,Itga9,,,,
,,Gm2a,,,Rraga,,,,,,Eif3h,,,Psme2,,,,,,Coro2a,Fuca1,Itgad,,,,
,,Gnas,,,Samd9l,,,,,,Eif3m,,,Ptpn18,,,,,,Cox8a,Gabarap,Itgb5,,,,
,,Gng10,,,Scaf11,,,,,,Eif4a1,,,Ptpn22,,,,,,Cpne1,Gdi2,Jup,,,,
,,Gng2,,,Scd1,,,,,,Eif4ebp2,,,Pycard,,,,,,Creld2,Glrx,Lpcat2,,,,
,,Gngt2,,,Sdc4,,,,,,Elovl5,,,Pydc3,,,,,,Cst7,Glud1,Lpl,,,,
,,Gns,,,Sh3bgrl3,,,,,,Eno1,,,Ramp1,,,,,,Ctla2b,Glul,Lrp1,,,,
,,Gpcpd1,,,Sipa1,,,,,,Esyt2,,,Rapgef6,,,,,,Ctsw,Gm11428,Ly86,,,,
,,Gpx1,,,Snx5,,,,,,Faah,,,Rexo2,,,,,,Cyfip2,Gm2a,Ly96,,,,
,,Grn,,,Sp140,,,,,,Faf2,,,Rnaset2b,,,,,,Cyth4,Gm9733,Maf,,,,
,,Gsn,,,Stk17b,,,,,,Fam102a,,,Rnf138,,,,,,D16Ertd472e,Gnb2,Mafb,,,,
,,H2-Eb2,,,Strbp,,,,,,Fam113b,,,Rpl12,,,,,,D1Ertd622e,Gng10,Mcee,,,,
,,H2-Q8,,,Stt3b,,,,,,Fam134a,,,Rpl18,,,,,,D4Wsu53e,Gng5,Mcfd2,,,,
,,H3f3b,,,Swap70,,,,,,Fam53b,,,Rpl5,,,,,,Dap,Gpx1,Mertk,,,,
,,Haao,,,Syk,,,,,,Fam54b,,,Rplp0,,,,,,Dcdc2b,Gsn,Mgst1,,,,
,,Hck,,,Sypl,,,,,,Flt3l,,,Rplp1,,,,,,Dcxr,Gsr,Mpp6,,,,
,,Hcls1,,,Tcf3,,,,,,Folr4,,,Rplp2,,,,,,Dda1,Gusb,Mrc1,,,,
,,Heg1,,,Tcf4,,,,,,Frmd8,,,Rps10,,,,,,Dek,Gyg,Ms4a6d,,,,
,,Hexa,,,Tmod3,,,,,,Fryl,,,Rps14,,,,,,Dennd1b,H2-Aa,Ms4a7,,,,
,,Hist1h2ao,,,Trp53i11,,,,,,Galnt10,,,Rps15a,,,,,,Dhrs3,H2-Ab1,Mt1,,,,
,,Icosl,,,Tsc22d3,,,,,,Galnt6,,,Rps16,,,,,,Dhrs7,H2-DMb1,Nenf,,,,
,,Idh3g,,,Txndc5,,,,,,Gata3,,,Rps18,,,,,,Disc1,H2-Eb1,Nipsnap3b,,,,
,,Ifitm3,,,Ubl3,,,,,,Gbp7,,,Rps23,,,,,,Dnajb4,H2afy,Nr1h3,,,,
,,Ifngr2,,,Uchl3,,,,,,Gimap9,,,Rps3,,,,,,Dnajb9,Haus8,Nr3c1,,,,
,,Ikzf3,,,Vars,,,,,,Glrx5,,,Rps7,,,,,,Dnajc1,Havcr2,Nrros,,,,
,,Il10ra,,,Yeats4,,,,,,Gm11346,,,S100a13,,,,,,Dnajc15,Hck,Osbpl2,,,,
,,Il4ra,,,Zcchc11,,,,,,Gm5148,,,S1pr1,,,,,,Dnmt1,Herpud1,Oxct1,,,,
,,Inpp5d,,,Zfp318,,,,,,Gm5506,,,Satb1,,,,,,Dok2,Htra2,P2rx4,,,,
,,Iqsec1,,,Zfp36l1,,,,,,Gmfg,,,Sdf4,,,,,,Dusp2,Icam1,P2ry13,,,,
,,Irak2,,,Zfp706,,,,,,Gpr132,,,Sec11a,,,,,,Dusp5,Ifi30,Paox,,,,
,,Irf4,,,,,,,,,Grap2,,,Sepp1,,,,,,Dvl3,Ifnar2,Parp14,,,,
,,Itprip,,,,,,,,,Gsk3b,,,Sept1,,,,,,Ebp,Ifngr2,Pcna,,,,
,,Jhdm1d,,,,,,,,,Gstp1,,,Sept9,,,,,,Efr3a,Irf5,Pcolce2,,,,
,,Jmjd1c,,,,,,,,,Gtpbp1,,,Sh2d1a,,,,,,Elf4,Iscu,Pcyox1,,,,
,,Kctd12,,,,,,,,,Gtpbp4,,,Slc9a3r1,,,,,,Elmo2,Jak2,Picalm,,,,
,,Klhl24,,,,,,,,,H13,,,Smpdl3a,,,,,,Emp3,Kctd12,Pilra,,,,
,,Kmo,,,,,,,,,H2-D1,,,Spn,,,,,,Eomes,Khk,Pilrb1,,,,
,,Ktn1,,,,,,,,,H2-Ke6,,,Srpk1,,,,,,Epb4.1,Klf4,Pilrb2,,,,
,,Lats2,,,,,,,,,H2-T22,,,Stk38,,,,,,Esyt1,LOC100038947,Pirb,,,,
,,Lax1,,,,,,,,,H2afz,,,Tagln2,,,,,,Evl,Lamp2,Pla2g15,,,,
,,Lcp1,,,,,,,,,Hadhb,,,Tmem66,,,,,,Exosc4,Lilrb3,Pla2g7,,,,
,,Limd1,,,,,,,,,Hdac7,,,Tmem9b,,,,,,Fam100b,Litaf,Plekhb2,,,,
,,Lpcat1,,,,,,,,,Hint1,,,Tmsb10,,,,,,Fam173a,Lmo4,Plpp3,,,,
,,Lpgat1,,,,,,,,,Hmgb2,,,Tnfrsf18,,,,,,Fam40a,Lrrc33,Pon2,,,,
,,Lpxn,,,,,,,,,Hsd17b10,,,Tomm20,,,,,,Fam89b,Lsp1,Por,,,,
,,Lrrc33,,,,,,,,,Hspa9,,,Tpst2,,,,,,Fasl,Lyz1,Ppt2,,,,
,,Lrrk2,,,,,,,,,Ier3ip1,,,Tpt1,,,,,,Fbxo22,Lyz2,Ptgis,,,,
,,Malt1,,,,,,,,,Ifnar2,,,Tspo,,,,,,Fbxo28,Mapk3,Ptgs1,,,,
,,Marcks,,,,,,,,,Ifngr1,,,Tuba1a,,,,,,Fbxw7,Mapkapk2,Pttg1,,,,
,,Mast4,,,,,,,,,Igf2r,,,Txk,,,,,,Fgl2,Marcksl1,Rab1a,,,,
,,Mcl1,,,,,,,,,Igtp,,,Utrn,,,,,,Fis1,Mdh2,Rab3il1,,,,
,,Med13,,,,,,,,,Ikzf1,,,Vps37b,,,,,,Flt3l,Mettl9,Rbfa,,,,
,,Mgrn1,,,,,,,,,Il17ra,,,Whsc1l1,,,,,,Fosl2,Mkrn1,Rcc1,,,,
,,Mknk2,,,,,,,,,Il27ra,,,Zap70,,,,,,Fryl,Ms4a6c,Rhob,,,,
,,Mrpl54,,,,,,,,,Il2rb,,,,,,,,,Furin,Mthfd2,Rnf13,,,,
,,Mtdh,,,,,,,,,Il2rg,,,,,,,,,Fyn,Mtpn,Rxra,,,,
,,Mtmr2,,,,,,,,,Il6ra,,,,,,,,,Gab3,Myadm,Sash1,,,,
,,Mtpn,,,,,,,,,Il6st,,,,,,,,,Gabarapl2,Myeov2,Scarb1,,,,
,,Mtss1,,,,,,,,,Impdh1,,,,,,,,,Galnt2,Myl12b,Selenop,,,,
,,Myc,,,,,,,,,Inpp4a,,,,,,,,,Gas7,Myo1g,Sema6d,,,,
,,Myo1c,,,,,,,,,Inpp4b,,,,,,,,,Gata3,Naaa,Siglece,,,,
,,Myo1e,,,,,,,,,Ipcef1,,,,,,,,,Gbp7,Nadk,Sil1,,,,
,,Nckap1l,,,,,,,,,Irf1,,,,,,,,,Gem,Naga,Slc11a1,,,,
,,Ndufs8,,,,,,,,,Itgal,,,,,,,,,Gimap4,Napsa,Slc29a1,,,,
,,Nedd9,,,,,,,,,Itgb1,,,,,,,,,Gimap5,Ncf2,Slc40a1,,,,
,,Neurl3,,,,,,,,,Itm2a,,,,,,,,,Glipr2,Ndufc2,Slc45a3,,,,
,,Nfkb2,,,,,,,,,Itm2b,,,,,,,,,Gm4956,Nedd4,Slc48a1,,,,
,,Nol7,,,,,,,,,Kcnab2,,,,,,,,,Gnb1,Nedd8,Slc7a7,,,,
,,Notch2,,,,,,,,,Kif21b,,,,,,,,,Gnptab,Nfkb1,Slc8b1,,,,
,,Nrbp1,,,,,,,,,Klhl6,,,,,,,,,Gnptg,Nfkbia,Smagp,,,,
,,Nsf,,,,,,,,,Klhl9,,,,,,,,,Golga4,Npc2,Spcs3,,,,
,,Oat,,,,,,,,,Krit1,,,,,,,,,Gpc1,Nr4a1,Spic,,,,
,,Osbpl9,,,,,,,,,Laptm5,,,,,,,,,Gramd1a,Ogfrl1,Ssr4,,,,
,,P2ry10,,,,,,,,,Larp1,,,,,,,,,Gramd4,Ost4,Stard3nl,,,,
,,Parvg,,,,,,,,,Lasp1,,,,,,,,,Grina,Pak1,Stard5,,,,
,,Pax5,,,,,,,,,Lbr,,,,,,,,,Gse1,Pgd,Sumo3,,,,
,,Pde4b,,,,,,,,,Ldb1,,,,,,,,,Gstm1,Pid1,Tbxas1,,,,
,,Phc2,,,,,,,,,Ldlrap1,,,,,,,,,Gtpbp1,Pip4k2a,Tlr2,,,,
,,Phip,,,,,,,,,Lgals3bp,,,,,,,,,Gzma,Pitpna,Tlr7,,,,
,,Pik3ap1,,,,,,,,,Lnpep,,,,,,,,,Gzmb,Pkib,Tmed9,,,,
,,Pik3c2b,,,,,,,,,Lonp2,,,,,,,,,H2-D1,Plac8,Tmem140,,,,
,,Pisd-ps1,,,,,,,,,Lrrc8a,,,,,,,,,H2-K1,Plekho2,Tmem60,,,,
,,Plaur,,,,,,,,,Lrrfip1,,,,,,,,,H2-Q4,Plin2,Tmem86a,,,,
,,Plcg2,,,,,,,,,Lta4h,,,,,,,,,H2-Q6,Plxnc1,Tmx1,,,,
,,Pld4,,,,,,,,,Ly6c1,,,,,,,,,Hbxip,Pomp,Tnfrsf21,,,,
,,Plek,,,,,,,,,Ly6c2,,,,,,,,,Hcst,Ppfia4,Tpcn2,,,,
,,Plekho1,,,,,,,,,M6pr,,,,,,,,,Hectd1,Ppt1,Trnau1ap,,,,
,,Plp2,,,,,,,,,Map4k4,,,,,,,,,Higd1a,Prcp,Trpm2,,,,
,,Pml,,,,,,,,,Mark2,,,,,,,,,Hist1h1e,Prdx2,Tspan4,,,,
,,Pold1,,,,,,,,,Mbd2,,,,,,,,,Hist1h4c,Prkcd,Tubb2a,,,,
,,Ppp1r11,,,,,,,,,Mbp,,,,,,,,,Hook3,Psma7,Twf1,,,,
,,Ppp1r16b,,,,,,,,,Mcm6,,,,,,,,,Hsd11b1,Psmb9,Ube2l6,,,,
,,Prkcd,,,,,,,,,Mcts1,,,,,,,,,Ict1,Psme1,Umps,,,,
,,Psap,,,,,,,,,Me2,,,,,,,,,Ier2,Psme2,Vapb,,,,
,,Pten,,,,,,,,,Med28,,,,,,,,,Ifi47,Ptpre,Vcam1,,,,
,,Ptprj,,,,,,,,,Med30,,,,,,,,,Il12rb2,Rab11a,Zfp385a,,,,
