p_val,avg_logFC,pct.1,pct.2,cluster,gene,,celltyppe
1.60E-16,0.440968234,0.443,0.365,2,Arpc5,,
7.67E-10,0.436357712,0.266,0.202,2,Ncf2,,
2.36E-09,0.434122538,0.233,0.169,2,Cfp,,
2.52E-08,0.428966501,0.162,0.11,2,Flot1,,
4.80E-08,0.425290906,0.296,0.243,2,Flna,,
1.87E-05,0.423692591,0.153,0.115,2,Sh3glb1,,
2.93E-08,0.41942849,0.209,0.152,2,Msra,,
1.62E-07,0.415819867,0.188,0.136,2,Hcst,,
1.87E-21,0.413645986,0.461,0.345,2,Anxa2,,
5.62E-06,0.412167003,0.193,0.149,2,AB124611,,
7.39E-07,0.405001263,0.206,0.157,2,Dok3,,
3.08E-08,0.403546471,0.219,0.162,2,Rflnb,,
3.73E-75,0.390336121,0.825,0.41,2,Camp,,
1.00E-06,0.3843371,0.17,0.122,2,Litaf,,
8.05E-07,0.383705372,0.173,0.125,2,Neat1,,
1.94E-11,0.383432569,0.465,0.417,2,Gnai2,,
8.77E-13,0.378884274,0.371,0.286,2,Lsp1,,
5.48E-28,0.375167991,0.68,0.577,2,Cyba,,
8.94E-31,0.372655769,0.696,0.588,2,Arhgdib,,
3.06E-06,0.372330543,0.196,0.149,2,Myo1f,,
0.000281293,0.371129349,0.254,0.225,2,Mpc2,,
1.13E-14,0.369258217,0.368,0.271,2,Tyrobp,,
8.01E-17,0.367079383,0.576,0.532,2,Myl6,,
9.10E-05,0.366874234,0.332,0.308,2,Sri,,
3.73E-32,0.364375837,0.702,0.59,2,Hp,,
8.92E-15,0.360951507,0.508,0.441,2,Actg1,,
1.07E-23,0.35998747,0.599,0.503,2,Cotl1,,
1.24E-05,0.353215166,0.198,0.155,2,Dstn,,
0.001790134,0.344892253,0.226,0.201,2,Anxa3,,
0.001130515,0.341550179,0.195,0.166,2,Hcls1,,
9.01E-07,0.340748115,0.231,0.177,2,Gpsm3,,
1.01E-23,0.339698722,0.629,0.522,2,Cd24a,,
3.83E-06,0.338938418,0.278,0.23,2,Clec4a2,,
2.28E-05,0.338722514,0.275,0.234,2,Lst1,,
1.10E-07,0.336787682,0.387,0.342,2,Pgd,,
9.03E-06,0.33381526,0.316,0.276,2,Csf2ra,,
9.22E-05,0.331521677,0.316,0.288,2,Actr3,,
2.40E-07,0.32635727,0.275,0.218,2,Lmo4,,
0.000265558,0.322697556,0.18,0.145,2,Adipor1,,
2.87E-06,0.320581846,0.263,0.212,2,Klf2,,
6.77E-20,0.320460221,0.347,0.223,2,Ifitm3,,
1.61E-21,0.317249036,0.682,0.615,2,Coro1a,,
4.31E-08,0.31095827,0.326,0.267,2,Zyx,,
0.003311623,0.310457387,0.199,0.172,2,Nfe2,,
1.21E-07,0.30845972,0.414,0.355,2,Actb,,
1.38E-23,0.30764033,0.663,0.574,2,Msrb1,,
4.61E-05,0.304262126,0.16,0.12,2,Cd44,,
1.78E-16,0.303913741,0.639,0.589,2,Pkm,,
1.89E-10,0.301897677,0.569,0.555,2,Pfn1,,
4.59E-05,0.297049124,0.344,0.315,2,Myl12b,,
2.43E-07,0.296159899,0.39,0.349,2,Limd2,,
0.003195544,0.295893956,0.268,0.25,2,Rhog,,
0.000274882,0.295172736,0.296,0.264,2,Ier2,,
1.81E-09,0.290120641,0.479,0.43,2,Gmfg,,
0.002058134,0.285382087,0.172,0.143,2,Slfn2,,
3.52E-09,0.281121721,0.593,0.565,2,Gapdh,,
4.80E-05,0.280495949,0.32,0.283,2,Ncf4,,
0.000347387,0.273473884,0.157,0.122,2,Btg2,,
3.84E-05,0.268511628,0.433,0.42,2,Gabarap,,
0.00068754,0.26817561,0.41,0.413,2,Ldha,,
0.000209803,0.260768567,0.419,0.411,2,Tkt,,
0.000433872,0.256953175,0.289,0.255,2,Cd53,,
1.45E-14,0.255418874,0.65,0.536,2,Tmsb4x,,
2.72E-06,0.252881029,0.283,0.228,2,Zfp36,,
0,2.657486721,0.795,0.107,3,Retnlg,,Neutrophil progenitor
2.42E-256,2.118210136,0.378,0.055,3,Il1b,,
0,1.983143463,0.636,0.156,3,S100a6,,
1.35E-243,1.698097957,0.712,0.288,3,Ccl6,,
7.54E-159,1.614955398,0.248,0.036,3,Clec4d,,
3.51E-127,1.613857719,0.197,0.028,3,Cxcl2,,
1.26E-152,1.514603697,0.353,0.083,3,Junb,,
1.38E-255,1.508687115,0.61,0.155,3,Mmp8,,
9.80E-137,1.44902816,0.232,0.037,3,Cxcr2,,
3.98E-121,1.430131829,0.239,0.045,3,Fpr1,,
9.08E-114,1.425635885,0.162,0.02,3,H2-Q10,,
5.30E-145,1.415193726,0.498,0.182,3,Grina,,
3.59E-135,1.410969186,0.443,0.149,3,Dusp1,,
2.90E-108,1.407244737,0.259,0.061,3,Csf3r,,
2.86E-179,1.352455088,0.576,0.199,3,Mmp9,,
2.19E-212,1.344833693,0.801,0.455,3,Slpi,,
2.63E-131,1.317955004,0.424,0.136,3,Lilr4b,,
4.71E-96,1.306959579,0.233,0.054,3,Ccr1,,
3.83E-95,1.283170547,0.331,0.107,3,Slfn4,,
8.13E-265,1.277244767,0.902,0.577,3,S100a11,,
4.90E-79,1.251684885,0.227,0.06,3,Osm,,
6.10E-72,1.250463321,0.311,0.117,3,G0s2,,
1.88E-75,1.243113999,0.252,0.076,3,Clec4e,,
2.60E-63,1.23255515,0.199,0.056,3,Cyp4f18,,
2.93E-98,1.232105865,0.165,0.025,3,Il1f9,,
3.17E-132,1.228507619,0.559,0.249,3,Prr13,,
2.91E-100,1.217424697,0.549,0.272,3,Fth1,,
1.95E-89,1.215708643,0.3,0.092,3,Slfn1,,
2.72E-66,1.208579812,0.224,0.067,3,Slc16a3,,
1.50E-109,1.187636888,0.46,0.18,3,Lilrb4a,,
8.51E-100,1.164371674,0.529,0.254,3,Tyrobp,,
4.71E-75,1.142623149,0.276,0.09,3,Mxd1,,
9.77E-35,1.107828553,0.228,0.102,3,Ifitm1,,
1.44E-56,1.10666288,0.232,0.08,3,Slc2a3,,
6.64E-58,1.09140351,0.253,0.092,3,Stk17b,,
1.88E-61,1.072999332,0.166,0.041,3,Adam8,,
7.79E-89,1.064985501,0.487,0.23,3,Fos,,
6.29E-165,1.06071325,0.808,0.559,3,Msrb1,,
2.02E-50,1.035024566,0.209,0.072,3,Hacd4,,
2.83E-47,1.031606995,0.187,0.062,3,Trem1,,
1.31E-58,1.024352778,0.358,0.17,3,Ypel3,,
6.33E-50,1.021475453,0.219,0.078,3,Cd33,,
2.86E-44,1.010923893,0.259,0.113,3,Litaf,,
9.99E-48,0.997637636,0.178,0.056,3,Padi4,,
5.72E-50,0.995909571,0.275,0.115,3,Pilra,,
6.44E-37,0.989027226,0.284,0.145,3,Gda,,
2.36E-46,0.978065065,0.262,0.11,3,Btg2,,
2.74E-62,0.976101579,0.418,0.213,3,Zfp36,,
5.54E-94,0.974964446,0.587,0.332,3,Anxa2,,
1.81E-37,0.973210509,0.177,0.065,3,Btg1,,
4.73E-37,0.972991484,0.186,0.071,3,Gadd45a,,
1.96E-82,0.972745771,0.571,0.35,3,Lcp1,,
7.47E-71,0.955124218,0.49,0.258,3,Cd52,,
3.04E-39,0.946052565,0.353,0.204,3,Ctsd,,
4.68E-71,0.918012537,0.499,0.273,3,Lsp1,,
6.61E-32,0.917199567,0.234,0.114,3,Mcl1,,
2.23E-34,0.895986297,0.203,0.085,3,Fpr2,,
2.70E-37,0.89383323,0.233,0.102,3,Samhd1,,
5.32E-13,0.883902297,0.155,0.087,3,Wfdc17,,
1.58E-35,0.869616033,0.219,0.094,3,Ceacam10,,
5.28E-23,0.856742716,0.222,0.12,3,Neat1,,
