overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Arsb,Tacc1,Clec2d,Coro2a,,,,,,Ptprc,Acot13,Malat1,Cox4i1,,Gm1821,Psip1
,,Ass1,Taf10,Clint1,Cotl1,,,,,,Ptprcap,Acp1,Mir142hg,Csnk1a1,,Gmnn,Rag1
,,Atp1b3,Tpt1,Csf2ra,Cst7,,,,,,Rbm38,Actl6a,Mxd4,Csnk2a1,,H2afx,Rag2
,,Atp5e,Trip4,Csf3r,Ctla2a,,,,,,Rcc2,Acyp1,Nabp1,Cux1,,H2afz,Rmnd5a
,,Atp5g1,Trmt112,Csnk1a1,Ctsd,,,,,,Rin3,Ada,Ncapg,Cyb5,,Hdac1,Rorc
,,Atp5g2,Txk,Cst3,Ctsw,,,,,,Rock2,Adh5,Ncaph,Dap3,,Hdgf,Satb1
,,B3gat3,Unc119,Ctsb,Cxcr3,,,,,,Sell,Adprh,Ncaph2,Def6,,Hist3h2ba,Sla
,,Bag1,Wdr89,Ctsh,Cxcr6,,,,,,Sept9,Adss,Nde1,Dhrs3,,Hmgb3,Smc4
,,Bcap29,Wipf1,Ctsz,Cyth4,,,,,,Slamf6,Agtrap,Nek2,Dnajc15,,Hmgn2,Sox4
,,Bccip,Zap70,Cybb,D19Ertd737e,,,,,,Stap1,Aimp1,Nsd2,Dntt,,Hn1,Stmn1
,,Bloc1s1,,Cyfip1,Dok2,,,,,,Tlk1,Akirin1,Nudt4,Eefsec,,Hnrnpa3,Themis
,,C330021F23Rik,,Dnajb9,Dusp2,,,,,,Trat1,Aldh7a1,Nuf2,Eif4e3,,Hspa14,Thy1
,,Cab39l,,Dnajc14,Eef1a1,,,,,,Ubash3a,Anapc16,Odf2,Emb,,Incenp,Trp53inp1
,,Calr,,Dusp6,Eef1b2,,,,,,Vamp1,Angel2,Pclaf,Ets1,,Kif20a,Tubb5
,,Capzb,,Ebi3,Eef1d,,,,,,Wdr89,Ap1m1,Pcna,Ezr,,Kif22,Ube2s
,,Cbx7,,Emilin2,Eef1g,,,,,,Zap70,Ap2m1,Ppp2r5a,Fam78a,,Kif23,Znrf1
,,Ccndbp1,,Emp3,Eif4a2,,,,,,Zcchc8,Apoo,Prrt1,Fas,,Kifc1,
,,Ccr2,,Entpd1,Esyt1,,,,,,Zfp740,Arf4,Psap,Fermt3,,Kpna2,
,,Ccr8,,Entpd7,Fam102a,,,,,,Zfp871,Arf5,Reep5,Fmnl1,,Kras,
,,Cd3g,,Erp29,Fam189b,,,,,,Znrf3,Arfgap2,Rhno1,Fubp1,,Larp7,
,,Cd97,,Erp44,Fam46a,,,,,,,Arpc3,Rsrp1,Glcci1,,Lig1,
,,Cdk2ap1,,Etf1,Fam65b,,,,,,,Asf1a,Selenoh,Gsk3b,,Lsm3,
,,Cecr5,,Fem1b,Fasl,,,,,,,Atad1,Serinc3,Hdac2,,Lsm5,
,,Cenpb,,Fes,Fau,,,,,,,Atp5c1,Shcbp1,Hibadh,,Mad2l1,
,,Chd3,,Fgd2,Fgl2,,,,,,,Atp5d,Ska1,Hist1h2ao,,Maz,
,,Chd7,,Fos,Flt3l,,,,,,,Atp5f1,Ska2,Hmgn1,,Mdh1,
,,Chka,,Ftl1-ps1,Gimap3,,,,,,,Atp5g3,Ska3,Hmha1,,Mki67,
,,Chmp1a,,Gabarap,Gimap4,,,,,,,Atp5j,Spdl1,Hnrnpa2b1,,Mns1,
,,Chmp2a,,Ggh,Gimap5,,,,,,,Atp5j2,Tfdp1,Hnrnpf,,Mxd3,
,,Chpf,,Ghitm,Glipr2,,,,,,,Atp5k,Tk1,Hnrnpk,,Mzt1,
,,Chst12,,Gigyf1,Gltscr2,,,,,,,Atp5o,Tuba1c,Hnrnpl,,Nap1l1,
,,Cldn25,,Glipr1,Gm11346,,,,,,,Atp6ap2,Ubald2,Hnrnpm,,Ncapd2,
,,Cln3,,Glud1,Gng2,,,,,,,Atp6v1c1,Usp1,Hnrnpu,,Ndc80,
,,Cndp2,,Gm10036,Gpr65,,,,,,,Atp6v1d,Ybx1,Hsdl1,,Nfyb,
,,Cnot6l,,Gm10224,Grcc10,,,,,,,Atp6v1e1,mt-Rnr1,Ikzf1,,Nt5dc2,
,,Commd7,,Gm12854,Gzmb,,,,,,,Atp6v1g1,mt-Rnr2,Il16,,Nucks1,
,,Cops4,,Golim4,Hcst,,,,,,,Atpif1,,Il21r,,Nup62,
,,Cox7b,,Gpr35,Hsd11b1,,,,,,,Atrx,,Impdh1,,Nusap1,
,,Crip1,,Gpx1,Hspa5,,,,,,,Bambi-ps1,,Itk,,Orc6,
,,Crlf2,,Grina,Icos,,,,,,,Banf1,,Itm2a,,Pbk,
,,Csda,,Grn,Ier5,,,,,,,Baz2a,,Jakmip1,,Plk1,
,,Ctla2b,,H2-Aa,Ifi203,,,,,,,Bbip1,,Kcnn4,,Ppia,
,,Ctsa,,H2-Ab1,Ikzf3,,,,,,,Bcl7b,,Kdm6b,,Prc1,
,,Cyba,,H2-DMa,Il18r1,,,,,,,Bhlhb9,,Lat,,Ptma,
,,D4Wsu53e,,H2-DMb1,Il27ra,,,,,,,Blmh,,Lbr,,Racgap1,
,,D730005E14Rik,,H2-Eb1,Il2rb,,,,,,,Bpgm,,Ldha,,Rad21,
,,D930014E17Rik,,H2-Q7,Il2rg,,,,,,,Bptf,,Lef1,,Rad51ap1,
,,Dap,,H2-T22,Il7r,,,,,,,Brd3,,Limd2,,Ran,
,,Ddx56,,Herpud1,Inpp4b,,,,,,,Brd7,,Lipa,,Rangap1,
,,Ddx58,,Hinfp,Itgae,,,,,,,Btf3l4,,Lrmp,,Rbbp4,
,,Degs2,,Hps3,Itgb7,,,,,,,Bud31,,Lrrc42,,Rbbp7,
,,Dennd1c,,Hpse,Itm2c,,,,,,,Bzw1,,Lztfl1,,Rpa3,
,,Dennd4a,,I830127L07Rik,Kcnj8,,,,,,,C030046I01Rik,,Mad1l1,,Rrm1,
,,Dhrs7,,Ifitm2,Klf2,,,,,,,C1d,,Marcks,,Rrm2,
,,Dock2,,Ifitm3,Klk8,,,,,,,Cacybp,,Mbtd1,,Slbp,
,,Dopey2,,Ifngr2,Klra9,,,,,,,Calm3,,Mcm7,,Smc1a,
,,Dpm3,,Ighg2b,Klrb1c,,,,,,,Capn3,,Mier1,,Smc2,
,,Dtx3l,,Ighm,Klrd1,,,,,,,Caprin1,,Nfatc3,,Socs1,
,,Dusp5,,Igkc,Klre1,,,,,,,Carkd,,Nono,,Spc24,
,,Ebag9,,Iglc1,Klrk1,,,,,,,Casp2,,Nsg2,,Spc25,
,,Eif4ebp1,,Iglc2,Krtcap2,,,,,,,Casp6,,Nt5c3l,,Srsf5,
,,Elovl1,,Iglc3,Lax1,,,,,,,Cbx5,,Oaz1,,Tacc3,
,,Erap1,,Iglv1,Lime1,,,,,,,Cbx6,,Obfc2a,,Tcf19,
