"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vim3",3.04949481086887e-122,0.496833625717083,0.988,0.781,7.11782583804904e-118,"4","Vim"
"Numbl",3.16389548155918e-122,0.340893899423021,0.291,0.043,7.38484844350729e-118,"4","Numbl"
"Nnmt1",8.41977940747357e-122,0.479069959105868,0.4,0.09,1.9652607114984e-117,"4","Nnmt"
"Lama4",2.40731933101901e-121,0.363091993909728,0.453,0.109,5.61892405053148e-117,"4","Lama4"
"Cfb",1.41820512004383e-120,0.610924075601226,0.29,0.045,3.31023257069431e-116,"4","Cfb"
"Serpinb6a2",2.29073559211285e-120,0.559202227380993,0.842,0.428,5.3468059455506e-116,"4","Serpinb6a"
"Epb4.1l22",5.28552013841908e-120,0.460380189531088,0.518,0.16,1.2336932555084e-115,"4","Epb4.1l2"
"Nedd43",9.61279099495013e-120,0.490819163934125,0.792,0.349,2.24372154613131e-115,"4","Nedd4"
"Klhl13",1.85658638987327e-119,0.33050139086811,0.281,0.04,4.33345829260319e-115,"4","Klhl13"
"Gng101",1.32918521825385e-118,0.487924607703858,0.666,0.267,3.1024512179263e-114,"4","Gng10"
"Nmb",1.55574885680083e-117,0.607283389789564,0.256,0.033,3.63127340665882e-113,"4","Nmb"
"Fhl12",4.44835700837087e-117,0.440650194010114,0.578,0.196,1.03829100932384e-112,"4","Fhl1"
"Gem4",5.67792487692102e-117,0.622381303646228,0.813,0.399,1.32528444552213e-112,"4","Gem"
"Slit3",6.89379416494508e-117,0.335126126262081,0.258,0.033,1.60908049603983e-112,"4","Slit3"
"Pmp224",1.91446655365682e-116,0.390221561874867,0.812,0.373,4.46855638289038e-112,"4","Pmp22"
"Dpp4",1.90146562277485e-115,0.466840300665526,0.299,0.052,4.43821091011877e-111,"4","Dpp4"
"Ahnak2",3.05975253416893e-113,0.551999465049122,0.943,0.558,7.1417683900037e-109,"4","Ahnak"
"Fam102b",3.97592998815484e-113,0.406069875037918,0.406,0.103,9.28021818535222e-109,"4","Fam102b"
"Cks1b",4.9019616780683e-113,0.348815154285634,0.325,0.062,1.14416687527792e-108,"4","Cks1b"
"Zfhx4",6.0652990000458e-113,0.393008270914651,0.342,0.072,1.41570143960069e-108,"4","Zfhx4"
"Dtnbp11",1.06909009360626e-112,0.449155560044918,0.473,0.143,2.49536318748638e-108,"4","Dtnbp1"
"Fkbp74",1.40115517102788e-112,0.404447257929782,0.606,0.207,3.27043628469617e-108,"4","Fkbp7"
"Sh3pxd2b",3.77306168590169e-112,0.357634897522638,0.278,0.044,8.80670328106313e-108,"4","Sh3pxd2b"
"Irak3",4.61024557810807e-112,0.363929315556911,0.319,0.059,1.07607742038621e-107,"4","Irak3"
"Frmd61",6.61153476365436e-112,0.414075183476457,0.474,0.14,1.54319832918456e-107,"4","Frmd6"
"Ntn1",1.08757585157015e-110,0.404598450370153,0.364,0.084,2.53851079514989e-106,"4","Ntn1"
"Lamb23",2.94987426186645e-110,0.470707799936896,0.634,0.241,6.88530151462249e-106,"4","Lamb2"
"Cebpb4",3.27716739062582e-110,0.5579143913338,0.938,0.584,7.64923640645973e-106,"4","Cebpb"
"Plat3",1.15045898379891e-109,0.411930065913199,0.539,0.175,2.68528631408504e-105,"4","Plat"
"Fndc3b",2.50007005920643e-109,0.424843315308134,0.456,0.134,5.83541352519374e-105,"4","Fndc3b"
"Tgfbr21",2.71445198844746e-109,0.534105641945799,0.518,0.178,6.33580238623521e-105,"4","Tgfbr2"
"Nfib3",3.6883166098104e-109,0.472928162877693,0.731,0.31,8.60889979895845e-105,"4","Nfib"
"Nid2",3.75147538246731e-109,0.3374661731402,0.303,0.053,8.75631869021696e-105,"4","Nid2"
"Dap1",9.45640109009299e-109,0.432078883310735,0.625,0.245,2.20721857843861e-104,"4","Dap"
