Tissue,Platform,Gene,Notes
Diaphragm,Plate,Itga7,
Diaphragm,Plate,Itgam,
Diaphragm,Plate,Itgb1,
Diaphragm,Plate,Myf5,
Diaphragm,Plate,Myod1,
Diaphragm,Plate,Pax3,
Diaphragm,Plate,Pax7,
Diaphragm,Plate,Pdgfra,
Diaphragm,Plate,Pecam1,
Diaphragm,Plate,Ptprc,
Diaphragm,Plate,Sdc4,
Diaphragm,Plate,Vcam1,
Fat,Plate,C1qa,
Fat,Plate,Cd14,
Fat,Plate,Cd19,
Fat,Plate,Cd24,
Fat,Plate,Cd34,
Fat,Plate,Cd3g,
Fat,Plate,Cd4,
Fat,Plate,Cd68,
Fat,Plate,Cd8a,
Fat,Plate,Cdh5,
Fat,Plate,Emr1,
Fat,Plate,Fabp4,
Fat,Plate,Gzma,
Fat,Plate,Irf8,
Fat,Plate,Itgam,
Fat,Plate,Kdr,
Fat,Plate,Lyz2,
Fat,Plate,Nkg7,
Fat,Plate,Pdgfra,
Fat,Plate,Pecam1,
Fat,Plate,Prprc,
Fat,Plate,Tek,
Heart/Aorta,10X,C1qa,
Heart/Aorta,10X,Cav1,
Heart/Aorta,10X,Cdh5,
Heart/Aorta,10X,Col1a1,
Heart/Aorta,10X,Col1a2,
Heart/Aorta,10X,Col3a1,
Heart/Aorta,10X,Ddr2,
Heart/Aorta,10X,Fabp4,
Heart/Aorta,10X,Hla-drb1,
Heart/Aorta,10X,Myh11,
Heart/Aorta,10X,Myl2,
Heart/Aorta,10X,Myl7,
Heart/Aorta,10X,Nppa,
Heart/Aorta,10X,Npr3,
Heart/Aorta,10X,Pecam1,
Heart/Aorta,10X,Pln,
Heart/Aorta,10X,Sln,
Heart/Aorta,10X,Tcf21,
Heart/Aorta,10X,Tnni3,
Heart/Aorta,Plate,C1qa,
Heart/Aorta,Plate,Cav1,
Heart/Aorta,Plate,Cdh5,
Heart/Aorta,Plate,Col1a1,
Heart/Aorta,Plate,Dcn,
Heart/Aorta,Plate,Ehd3,
Heart/Aorta,Plate,Fabp4,
Heart/Aorta,Plate,Gsn,
Heart/Aorta,Plate,Hbb-b1,
Heart/Aorta,Plate,Myh11,
Heart/Aorta,Plate,Myl2,
Heart/Aorta,Plate,Myl7,
Heart/Aorta,Plate,Nppa,
Heart/Aorta,Plate,Npr3,
Heart/Aorta,Plate,Pecam1,
Heart/Aorta,Plate,Pln,
Heart/Aorta,Plate,Sln,
Heart/Aorta,Plate,Tcf21,
Heart/Aorta,Plate,Tnni3,
Kidney,10X,Acta2,
Kidney,10X,Aqp2,
Kidney,10X,Cspg4,
Kidney,10X,Des,
Kidney,10X,Emcn,
Kidney,10X,Emr1,
Kidney,10X,Kcne1,
Kidney,10X,Kcne1,
Kidney,10X,Lgals2,
Kidney,10X,Ly6d,
Kidney,10X,Lyz2,
Kidney,10X,Mac2,
Kidney,10X,Mme,
Kidney,10X,Nkg7,
Kidney,10X,Pecam1,
Kidney,10X,Plvap,
Kidney,10X,Podxl,
Kidney,10X,Scnn1a,
Kidney,10X,Tagln,
Kidney,10X,Vil1,
Kidney,10X,Vim,
Kidney,10X,Wt1,
Kidney,Plate,Acta2,
Kidney,Plate,Aqp2,
Kidney,Plate,Cspg4,
Kidney,Plate,Des,
Kidney,Plate,Emcn,
Kidney,Plate,Emr1,
Kidney,Plate,Kcne1,
Kidney,Plate,Kcne1,
Kidney,Plate,Lgals2,
Kidney,Plate,Ly6d,
Kidney,Plate,Lyz2,
Kidney,Plate,Mac2,
Kidney,Plate,Mme,
Kidney,Plate,Nkg7,
Kidney,Plate,Pecam1,
Kidney,Plate,Plvap,
Kidney,Plate,Podxl,
Kidney,Plate,Scnn1a,
Kidney,Plate,Tagln,
Kidney,Plate,Vil1,
Kidney,Plate,Vim,
Kidney,Plate,Wt1,
Liver,10X,A1bg,male vs. female
Liver,10X,Alb,
Liver,10X,Apoa1,
Liver,10X,Ass1,
Liver,10X,Cd79a,
Liver,10X,Cdh1,
Liver,10X,Cyp2c40,male vs. female
Liver,10X,Cyp2c69,male vs. female
Liver,10X,Cyp2d9,male vs. female
Liver,10X,Cyp2e1,
Liver,10X,Cyp2f2,
Liver,10X,Elovl3,male vs. female
Liver,10X,Emr1,
Liver,10X,Glul,
Liver,10X,Gstp1,male vs. female
Liver,10X,Gulo,
Liver,10X,Hal,
Liver,10X,Hamp,
Liver,10X,Mup20,male vs. female
Liver,10X,Nkg7,
Liver,10X,Oat,
Liver,10X,Pck1,
Liver,10X,Serpina1c,
Liver,10X,Sult2a1,male vs. female
Liver,10X,Sult3a1,male vs. female
Liver,10X,Ttr,
Liver,10X,Ubb,
Liver,10X,Xist,male vs. female
Liver,Plate,Alb,
Liver,Plate,Apoa1,
Liver,Plate,Cd19,
Liver,Plate,Cd68,
Liver,Plate,Cd74,
Liver,Plate,Cd79a,
Liver,Plate,Cd79b,
Liver,Plate,Clec4f,
Liver,Plate,Cxcr6,
Liver,Plate,Emr1,
Liver,Plate,Gzma,
Liver,Plate,Il2rb,
Liver,Plate,Irf7,
Liver,Plate,Kdr,
Liver,Plate,Klrlc,
Liver,Plate,Nkg7,
Liver,Plate,Nrp,
Liver,Plate,Oit3,
Liver,Plate,Pecam1,
Liver,Plate,Serpina1c,
Liver,Plate,Ttr,
Liver,Plate,Zap70,
Lung,10X,Cd11b,
Lung,10X,Cd11c,
Lung,10X,Cd14,
Lung,10X,Csf1r,
Lung,10X,Cx3cr1,
Lung,10X,Itgax,
Lung,10X,Ly6c2,
Lung,10X,Macro,
Lung,10X,Mrc1,
Lung,10X,Mrc1,
Lung,Plate,Cd11b,
Lung,Plate,Cd11c,
Lung,Plate,Cd14,
Lung,Plate,Cd24a,
Lung,Plate,Cd68,
Lung,Plate,Csf1r,
Lung,Plate,Cx3cr1,
Lung,Plate,Itgax,
Lung,Plate,Ly6c2,
Lung,Plate,Macro,
Lung,Plate,Mrc1,
Lung,Plate,Mrc1,
Mammary,10X,Aldh1a3,
Mammary,10X,Cd14,
Mammary,10X,Cd14,
Mammary,10X,Cd3,
Mammary,10X,Cd874,
Mammary,10X,Csf1r,
Mammary,10X,Esam,
Mammary,10X,Esr1,
Mammary,10X,Fn1,
Mammary,10X,Krt14,
Mammary,10X,Krt17,
Mammary,10X,Krt5,
Mammary,10X,Krt8,
Mammary,10X,Pecam1,
Mammary,10X,Pgr,
Mammary,10X,Vim,
Mammary,Plate,Aldh13,
Mammary,Plate,Areg,
Mammary,Plate,Ccl2,Basal cell subclustering
Mammary,Plate,Cd14,
Mammary,Plate,Chac1,Basal cell subclustering
Mammary,Plate,Cited1,
Mammary,Plate,Csn3,
Mammary,Plate,Cxcl2,Basal cell subclustering
Mammary,Plate,Elf5,
Mammary,Plate,Esam,
Mammary,Plate,Esr1,
Mammary,Plate,Fos,Basal cell subclustering
Mammary,Plate,Id1,Basal cell subclustering
Mammary,Plate,Id2,Basal cell subclustering
Mammary,Plate,Igfbp2,Basal cell subclustering
Mammary,Plate,Igfbp4,Basal cell subclustering
Mammary,Plate,Krt14,
Mammary,Plate,Krt17,
Mammary,Plate,Krt18,
Mammary,Plate,Krt5,
Mammary,Plate,Krt8,
Mammary,Plate,Mthfd2,Basal cell subclustering
Mammary,Plate,Mthfd2,Basal cell subclustering
Mammary,Plate,Pdgfrl,Basal cell subclustering
Mammary,Plate,Pgr,
Mammary,Plate,Prlr,
Mammary,Plate,Procr,Basal cell subclustering
Mammary,Plate,Vcam1,Basal cell subclustering
Mammary,Plate,Vim,
Mammary,Plate,Wnt10a,Basal cell subclustering
Marrow,10X,Ahnak,
Marrow,10X,Beta-s,
Marrow,10X,Camp,
Marrow,10X,Cd19,
Marrow,10X,Cd3e,
Marrow,10X,Cd68,
Marrow,10X,Cd74,
Marrow,10X,Cd79a,
Marrow,10X,Cd79b,
Marrow,10X,Cd8a,
Marrow,10X,Chchd10,
Marrow,10X,Emr1,
Marrow,10X,Gata1,
Marrow,10X,Hbb-b2,
Marrow,10X,Itga2b,
Marrow,10X,Kirb1a,
Marrow,10X,Kirb1b,
Marrow,10X,Kirb1c,
Marrow,10X,Kit,
Marrow,10X,Lcn2,
Marrow,10X,Ltf,
Marrow,10X,Ly6d,
Marrow,10X,Mki67,
Marrow,10X,Mpeg1,
Marrow,10X,Ncr1,
Marrow,10X,Pglyrp1,
Marrow,10X,Stmn1,
Marrow,10X,Tfrc,
Marrow,10X,Thy1,
Marrow,Plate,Camp,
Marrow,Plate,Ccl9,
Marrow,Plate,Cd34,
Marrow,Plate,Cd3e,
Marrow,Plate,Cd4,
Marrow,Plate,Cd48,
Marrow,Plate,Cd68,
Marrow,Plate,Cd74,
Marrow,Plate,Cd79a,
Marrow,Plate,Cd79b,
Marrow,Plate,Cd8a,
Marrow,Plate,Chchd10,
Marrow,Plate,Dntt,
Marrow,Plate,Emr1,
Marrow,Plate,Fcgr3,
Marrow,Plate,Flt3,
Marrow,Plate,Fos,
Marrow,Plate,Gpr56,
Marrow,Plate,Il7r,
Marrow,Plate,Itga2b,
Marrow,Plate,Itgam,
Marrow,Plate,Jun,
Marrow,Plate,Junb,
Marrow,Plate,Kirb1a,
Marrow,Plate,Kirb1b,
Marrow,Plate,Kirb1c,
Marrow,Plate,Kit,
Marrow,Plate,Ltf,
Marrow,Plate,Ly6a,
Marrow,Plate,Ly6d,
Marrow,Plate,Mki67,
Marrow,Plate,Mn1,
Marrow,Plate,Mpeg1,
Marrow,Plate,Ms4a1,
Marrow,Plate,Myl10,
Marrow,Plate,Ncr1,
Marrow,Plate,Ngp,
Marrow,Plate,Pdzk1ip1,
Marrow,Plate,Pglyrp1,
Marrow,Plate,Ptprc,
Marrow,Plate,S100a11,
Marrow,Plate,S100a9,
Marrow,Plate,Stmn1,
Marrow,Plate,Vpreb3,
Pancreas,Plate,Amy2b,
Pancreas,Plate,Chga,
Pancreas,Plate,Gcg,
Pancreas,Plate,Ghrl,
Pancreas,Plate,Hhex,
Pancreas,Plate,Ins1,
Pancreas,Plate,Krt19,
Pancreas,Plate,Neurog3,
Pancreas,Plate,Pdgfrb,
Pancreas,Plate,Pecam1,
Pancreas,Plate,Ppy,
Pancreas,Plate,Prss53,
Pancreas,Plate,Ptprc,
Pancreas,Plate,Sst,
Skeletal Muscle,10X,Acta2,
Skeletal Muscle,10X,Atxn1,
Skeletal Muscle,10X,Calcr,
Skeletal Muscle,10X,Cd19,
Skeletal Muscle,10X,Cd3g,
Skeletal Muscle,10X,Chodl,
Skeletal Muscle,10X,Itgam,
Skeletal Muscle,10X,Myod1,
Skeletal Muscle,10X,Pecam1,
Skeletal Muscle,10X,Ptprc,
Skeletal Muscle,10X,Vcam1,
Skeletal Muscle,Plate,Acta2,
Skeletal Muscle,Plate,Atxn1,
Skeletal Muscle,Plate,Calcr,
Skeletal Muscle,Plate,Cd19,
Skeletal Muscle,Plate,Cd3g,
Skeletal Muscle,Plate,Chodl,
Skeletal Muscle,Plate,Itgam,
Skeletal Muscle,Plate,Myod1,
Skeletal Muscle,Plate,Pecam1,
Skeletal Muscle,Plate,Ptprc,
Skeletal Muscle,Plate,Vcam1,
Skin,Plate,Cd34,
Skin,Plate,Dkk3,
Skin,Plate,Fgf18,
Skin,Plate,Itga6,
Skin,Plate,Krt10,
Skin,Plate,Krt14,
Skin,Plate,Lrig1,
Skin,Plate,Top2a,
Spleen,10X,Cd4,
Spleen,10X,Cd79a,
Spleen,10X,Cd8a,
Spleen,10X,Cr2,
Spleen,10X,Lgals3,
Spleen,10X,Ncr1,
Spleen,Plate,Cd4,
Spleen,Plate,Cd79a,
Spleen,Plate,Cd8a,
Spleen,Plate,Cr2,
Spleen,Plate,Lgals3,
Spleen,Plate,Ncr1,
Thymus,10X,Cd3d,
Thymus,10X,Cd3e,
Thymus,10X,Cd3g,
Thymus,10X,Cd4,
Thymus,10X,Cd44,
Thymus,10X,Cd86,
Thymus,10X,Cd8a,
Thymus,10X,Dntt,
Thymus,10X,H2-Ab1,
Thymus,10X,Il2ra,
Thymus,10X,Mki67,
Thymus,10X,Prcra,
Thymus,10X,Ptprc,
Thymus,10X,Rag1,
Thymus,10X,Rag2,
Thymus,10X,Top2a,
Thymus,Plate,C3,
Thymus,Plate,Cd3d,
Thymus,Plate,Cd3e,
Thymus,Plate,Cd3g,
Thymus,Plate,Cd4,
Thymus,Plate,Cd44,
Thymus,Plate,Cd86,
Thymus,Plate,Cd8a,
Thymus,Plate,Cd8b,
Thymus,Plate,Dntt,
Thymus,Plate,H2-Aa,
Thymus,Plate,H2-Ab1,
Thymus,Plate,H2-Ab2,
Thymus,Plate,Igfb7,
Thymus,Plate,Il2ra,
Thymus,Plate,Krt5,
Thymus,Plate,Krt8,
Thymus,Plate,Mki67,
Thymus,Plate,Pdgfrb,
Thymus,Plate,Ptcra,
Thymus,Plate,Ptprc,
Thymus,Plate,Rag1,
Thymus,Plate,Rag2,
Thymus,Plate,Runx3,
Thymus,Plate,Top2a,
Thymus,Plate,Zbtb7b,
Tongue,10X,Cdc20,
Tongue,10X,Hoxc13,
Tongue,10X,Krt13,
Tongue,10X,Krt14,
Tongue,10X,Krt15,
Tongue,10X,Krt19,
Tongue,10X,Krt36,
Tongue,10X,Krt4,
Tongue,10X,Krt5,
Tongue,10X,Krt8,
Tongue,10X,Krt84,
Tongue,10X,Mki67,
Tongue,10X,P2rx7,
Tongue,10X,Sbsn,
Tongue,10X,Tas1r1,
Tongue,10X,Tas1r2,
Tongue,10X,Tas1r3,
Tongue,10X,Top2a,
Tongue,Plate,Cdc20,
Tongue,Plate,Hoxc13,
Tongue,Plate,Krt13,
Tongue,Plate,Krt14,
Tongue,Plate,Krt15,
Tongue,Plate,Krt19,
Tongue,Plate,Krt36,
Tongue,Plate,Krt4,
Tongue,Plate,Krt5,
Tongue,Plate,Krt8,
Tongue,Plate,Krt84,
Tongue,Plate,Mki67,
Tongue,Plate,P2rx7,
Tongue,Plate,Sbsn,
Tongue,Plate,Tas1r1,
Tongue,Plate,Tas1r2,
Tongue,Plate,Tas1r3,
Tongue,Plate,Top2a,
Trachea,10X,Calca,neuroendocrine
Trachea,10X,Cck,neuroendocrine
Trachea,10X,Cdh1,
Trachea,10X,Col1a1,
Trachea,10X,Col8a1,
Trachea,10X,Epcam,
Trachea,10X,Foxj1,
Trachea,10X,Krt5,
Trachea,10X,Pdgfra,
Trachea,10X,Pdgfrb,
Trachea,10X,Pecam1,
Trachea,10X,Ptprc,
Trachea,10X,Scgb1a1,
Trachea,10X,Syp,neuroendocrine
Trachea,Plate,Cdh1,
Trachea,Plate,Col1a1,
Trachea,Plate,Col8a1,
Trachea,Plate,Epcam,
Trachea,Plate,Foxj1,
Trachea,Plate,Krt14,
Trachea,Plate,Krt15,
Trachea,Plate,Krt5,
Trachea,Plate,Pdgfra,
Trachea,Plate,Pdgfrb,
Trachea,Plate,Pecam1,
Trachea,Plate,Ptprc,
Trachea,Plate,Scgb1a1,
